player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"Eshwar M","SAL","2025-2025","2","2","0","37","29","18.50","24","154.16","0","0","0","2","3"
"Athish SR","NRK","2025-2025","3","3","0","37","19","12.33","37","100.00","0","0","0","4","1"
"S Sunil Krishna","CSG","2025-2025","5","2","1","34","32*","34.00","22","154.54","0","0","0","4","1"
"BV Kumar","SAL","2025-2025","2","2","1","31","19*","31.00","27","114.81","0","0","0","2","0"
"CV Varun","DD","2025-2025","10","5","2","31","13*","10.33","20","155.00","0","0","2","3","2"
"V Anovankar","TT","2025-2025","3","2","2","28","25*","0","15","186.66","0","0","0","1","2"
"S Dinesh Raj","CSG","2025-2025","9","5","2","28","13*","9.33","21","133.33","0","0","0","1","1"
"Rajalingam S","SMP","2025-2025","4","3","1","26","22","13.00","13","200.00","0","0","0","3","1"
"Dinesh H","DD","2025-2025","4","4","2","25","17*","12.50","21","119.04","0","0","1","3","0"
"A Vitkar","DD","2025-2025","1","1","0","24","24","24.00","20","120.00","0","0","0","4","0"
"P Saravana Kumar","TRI","2025-2025","8","5","2","21","11","7.00","19","110.52","0","0","2","4","0"
"R Divakar","LKK","2025-2025","3","3","2","20","12*","20.00","17","117.64","0","0","0","0","1"
"D Rahul","SAL","2025-2025","2","1","1","18","18*","0","9","200.00","0","0","0","1","2"
"L Pradheep Vishal","LKK","2025-2025","2","2","1","18","11*","18.00","25","72.00","0","0","0","0","0"
"S Radhakrishnan","TT","2025-2025","1","1","1","14","14*","0","21","66.66","0","0","0","0","1"
"K Rajkumar","TT","2025-2025","1","1","0","14","14","14.00","22","63.63","0","0","0","1","0"
"Prabanjan S","TT","2025-2025","2","2","2","13","7*","0","9","144.44","0","0","0","1","0"
"N Selva Kumaran","TRI","2025-2025","6","3","2","13","13*","13.00","12","108.33","0","0","1","2","0"
"V Bhuvaneshwar","DD","2025-2025","2","1","0","12","12","12.00","21","57.14","0","0","0","0","0"
"AB Tanwar","CSG","2025-2025","9","4","1","12","9","4.00","14","85.71","0","0","1","2","0"
"DS Ferrario","TT","2025-2025","4","2","0","11","10","5.50","10","110.00","0","0","0","0","1"
"R Rohit","LKK","2025-2025","4","3","1","11","7","5.50","8","137.50","0","0","1","2","0"
"J Gowri Sankar","SAL","2025-2025","3","3","1","11","4*","5.50","8","137.50","0","0","0","2","0"
"TD Lokesh Raj","CSG","2025-2025","7","1","0","9","9","9.00","6","150.00","0","0","0","2","0"
"P Vidyuth","LKK","2025-2025","3","2","0","9","9","4.50","6","150.00","0","0","1","2","0"
"V Athisayaraj Davidson","TRI","2025-2025","8","1","1","7","7*","0","2","350.00","0","0","0","0","1"
"M Siddharth","LKK","2025-2025","7","3","0","7","4","2.33","10","70.00","0","0","0","0","0"
"VS Karthick Manikandan","SAL","2025-2025","1","1","1","6","6*","0","2","300.00","0","0","0","0","1"
"M Silambarasan","CSG","2025-2025","9","1","1","5","5*","0","2","250.00","0","0","0","1","0"
"M Poiyamozhi","SAL","2025-2025","7","2","1","5","3","5.00","17","29.41","0","0","0","0","0"
"J Subramanyan","LKK","2025-2025","7","1","1","4","4*","0","1","400.00","0","0","0","1","0"
"R Silambarasan","TT","2025-2025","9","1","1","4","4*","0","1","400.00","0","0","0","1","0"
"Aakaash Sharma","DD","2025-2025","3","1","0","4","4","4.00","6","66.66","0","0","0","0","0"
"R Sasidharan","DD","2025-2025","4","1","1","4","4*","0","9","44.44","0","0","0","0","0"
"M Mathivannan","TT","2025-2025","6","2","1","3","3","3.00","5","60.00","0","0","0","0","0"
"P Bhuvaneswaran","LKK","2025-2025","6","3","1","3","2","1.50","4","75.00","0","0","0","0","0"
"Emmanuel Cherian","NRK","2025-2025","7","3","1","3","2*","1.50","16","18.75","0","0","1","0","0"
"S Rathi","NRK","2025-2025","7","4","0","3","2","0.75","19","15.78","0","0","2","0","0"
"S Sandeep Warrier","DD","2025-2025","8","1","1","1","1*","0","3","33.33","0","0","0","0","0"
"KP Meiyappan","SMP","2025-2025","3","1","1","1","1*","0","1","100.00","0","0","0","0","0"
"M Uday Kumar","NRK","2025-2025","2","1","1","1","1*","0","2","50.00","0","0","0","0","0"
"DT Chandrasekar","DD","2025-2025","7","2","1","1","1*","1.00","4","25.00","0","0","1","0","0"
"J Ajay Chetan","SMP","2025-2025","2","2","0","1","1","0.50","8","12.50","0","0","1","0","0"
"V Yudheeshwaran","NRK","2025-2025","5","3","2","1","1*","1.00","5","20.00","0","0","1","0","0"
"S Shyam Sundar","SMP","2025-2025","1","1","0","0","0","0","1","0","0","0","1","0","0"
"Ajay K Krishna","NRK","2025-2025","2","1","0","0","0","0","2","0","0","0","1","0","0"
