bowler,total_balls,total_overs,total_runs,total_wickets,overall_economy,dot_ball_pct,inn1_balls,inn1_overs,inn1_runs,inn1_wickets,inn1_economy,inn2_balls,inn2_overs,inn2_runs,inn2_wickets,inn2_economy,powerplay_balls,powerplay_overs,powerplay_runs,powerplay_wickets,powerplay_economy,powerplay_dot_ball_pct,middle_balls,middle_overs,middle_runs,middle_wickets,middle_economy,middle_dot_ball_pct,death_balls,death_overs,death_runs,death_wickets,death_economy,death_dot_ball_pct,wickets_in_wins,wickets_in_losses,wickets_in_close_matches,runs_in_close_matches,inn1_powerplay_balls,inn1_powerplay_overs,inn1_powerplay_runs,inn1_powerplay_wickets,inn1_powerplay_economy,inn1_middle_balls,inn1_middle_overs,inn1_middle_runs,inn1_middle_wickets,inn1_middle_economy,inn1_death_balls,inn1_death_overs,inn1_death_runs,inn1_death_wickets,inn1_death_economy,inn2_powerplay_balls,inn2_powerplay_overs,inn2_powerplay_runs,inn2_powerplay_wickets,inn2_powerplay_economy,inn2_middle_balls,inn2_middle_overs,inn2_middle_runs,inn2_middle_wickets,inn2_middle_economy,inn2_death_balls,inn2_death_overs,inn2_death_runs,inn2_death_wickets,inn2_death_economy
A Zampa,250,41.666666666666664,375,13,9.0,22.400000000000002,90,15.0,110,5,7.333333333333333,160,26.666666666666668,265,8,9.9375,36,6.0,39,3,6.5,33.33333333333333,171,28.5,237,7,8.31578947368421,22.807017543859647,43,7.166666666666667,99,3,13.813953488372093,11.627906976744185,8,5,7,279,24,4.0,23,2,5.75,48,8.0,64,0,8.0,18,3.0,23,3,7.666666666666667,12,2.0,16,1,8.0,123,20.5,173,7,8.439024390243903,25,4.166666666666667,76,0,18.24
K Kartikeya,290,48.333333333333336,412,12,8.524137931034483,25.17241379310345,191,31.833333333333332,266,7,8.356020942408378,99,16.5,146,5,8.848484848484848,6,1.0,16,1,16.0,16.666666666666664,258,43.0,347,11,8.069767441860465,25.1937984496124,26,4.333333333333333,49,0,11.307692307692308,26.923076923076923,7,5,6,245,6,1.0,16,1,16.0,173,28.833333333333332,226,6,7.838150289017341,12,2.0,24,0,12.0,0,0.0,0,0,0.0,85,14.166666666666666,121,5,8.541176470588235,14,2.3333333333333335,25,0,10.714285714285714
Simarjeet Singh,256,42.666666666666664,411,12,9.6328125,35.546875,99,16.5,174,4,10.545454545454545,157,26.166666666666668,237,8,9.05732484076433,131,21.833333333333332,215,5,9.84732824427481,39.69465648854962,85,14.166666666666666,132,5,9.31764705882353,35.294117647058826,40,6.666666666666667,64,2,9.6,22.5,9,3,5,190,25,4.166666666666667,48,0,11.52,47,7.833333333333333,74,3,9.446808510638299,27,4.5,52,1,11.555555555555555,106,17.666666666666668,167,5,9.452830188679245,38,6.333333333333333,58,2,9.157894736842106,13,2.1666666666666665,12,1,5.538461538461539
Arshad Khan,289,48.166666666666664,502,12,10.422145328719724,26.989619377162633,187,31.166666666666668,335,10,10.748663101604278,102,17.0,167,2,9.823529411764707,206,34.333333333333336,326,7,9.495145631067961,32.038834951456316,20,3.3333333333333335,32,2,9.6,20.0,63,10.5,144,3,13.714285714285714,12.698412698412698,8,4,9,348,120,20.0,199,6,9.95,14,2.3333333333333335,23,1,9.857142857142856,53,8.833333333333334,113,3,12.792452830188678,86,14.333333333333334,127,1,8.86046511627907,6,1.0,9,1,9.0,10,1.6666666666666667,31,0,18.599999999999998
Azmatullah Omarzai,300,50.0,476,12,9.52,27.666666666666668,151,25.166666666666668,222,5,8.821192052980132,149,24.833333333333332,254,7,10.228187919463087,168,28.0,266,3,9.5,36.30952380952381,84,14.0,114,6,8.142857142857142,19.047619047619047,48,8.0,96,3,12.0,12.5,10,2,10,411,87,14.5,128,1,8.827586206896552,46,7.666666666666667,60,2,7.826086956521739,18,3.0,34,2,11.333333333333334,81,13.5,138,2,10.222222222222221,38,6.333333333333333,54,4,8.526315789473685,30,5.0,62,1,12.4
V Nigam,244,40.666666666666664,361,12,8.87704918032787,25.0,156,26.0,234,9,9.0,88,14.666666666666666,127,3,8.65909090909091,50,8.333333333333334,76,5,9.12,36.0,155,25.833333333333332,248,5,9.6,20.64516129032258,39,6.5,37,2,5.6923076923076925,28.205128205128204,7,5,10,308,31,5.166666666666667,39,3,7.548387096774193,92,15.333333333333334,169,4,11.021739130434781,33,5.5,26,2,4.7272727272727275,19,3.1666666666666665,37,2,11.68421052631579,63,10.5,79,1,7.523809523809524,6,1.0,11,0,11.0
R Shepherd,223,37.166666666666664,416,12,11.192825112107624,23.318385650224215,148,24.666666666666668,255,9,10.337837837837837,75,12.5,161,3,12.88,25,4.166666666666667,37,2,8.879999999999999,40.0,151,25.166666666666668,281,5,11.165562913907284,22.516556291390728,47,7.833333333333333,98,5,12.51063829787234,17.02127659574468,6,6,7,250,12,2.0,15,1,7.5,95,15.833333333333334,163,4,10.294736842105262,41,6.833333333333333,77,4,11.26829268292683,13,2.1666666666666665,22,1,10.153846153846155,56,9.333333333333334,118,1,12.642857142857142,6,1.0,21,1,21.0
Akash Deep,302,50.333333333333336,554,11,11.006622516556291,25.82781456953642,153,25.5,264,6,10.352941176470589,149,24.833333333333332,290,5,11.677852348993289,134,22.333333333333332,225,5,10.074626865671643,29.850746268656714,117,19.5,212,4,10.871794871794872,26.495726495726498,51,8.5,117,2,13.764705882352942,13.725490196078432,9,2,11,412,58,9.666666666666666,92,3,9.517241379310345,67,11.166666666666666,103,2,9.223880597014926,28,4.666666666666667,69,1,14.785714285714285,76,12.666666666666666,133,2,10.5,50,8.333333333333334,109,2,13.079999999999998,23,3.8333333333333335,48,1,12.521739130434781
OC McCoy,180,30.0,255,11,8.5,21.11111111111111,51,8.5,43,5,5.0588235294117645,129,21.5,212,6,9.86046511627907,12,2.0,14,0,7.0,41.66666666666667,97,16.166666666666668,144,3,8.90721649484536,15.463917525773196,71,11.833333333333334,97,8,8.197183098591548,25.352112676056336,10,1,8,163,0,0.0,0,0,0.0,26,4.333333333333333,23,2,5.307692307692308,25,4.166666666666667,20,3,4.8,12,2.0,14,0,7.0,71,11.833333333333334,121,1,10.225352112676056,46,7.666666666666667,77,5,10.043478260869565
Ashwani Kumar,132,22.0,234,11,10.636363636363637,18.181818181818183,52,8.666666666666666,106,6,12.230769230769232,80,13.333333333333334,128,5,9.6,31,5.166666666666667,61,3,11.806451612903226,22.58064516129032,57,9.5,78,4,8.210526315789474,15.789473684210526,44,7.333333333333333,95,4,12.954545454545455,18.181818181818183,8,3,10,205,25,4.166666666666667,52,2,12.479999999999999,14,2.3333333333333335,17,3,7.285714285714286,13,2.1666666666666665,37,1,17.076923076923077,6,1.0,9,1,9.0,43,7.166666666666667,61,1,8.511627906976743,31,5.166666666666667,58,3,11.225806451612902
Lalit Yadav,294,49.0,430,11,8.775510204081632,24.149659863945576,214,35.666666666666664,335,7,9.392523364485982,80,13.333333333333334,95,4,7.125,98,16.333333333333332,155,2,9.489795918367347,30.612244897959183,168,28.0,229,8,8.178571428571429,20.833333333333336,28,4.666666666666667,46,1,9.857142857142856,21.428571428571427,6,5,8,221,60,10.0,109,1,10.9,126,21.0,180,5,8.571428571428571,28,4.666666666666667,46,1,9.857142857142856,38,6.333333333333333,46,1,7.2631578947368425,42,7.0,49,3,7.0,0,0.0,0,0,0.0
JL Pattinson,222,37.0,321,11,8.675675675675675,29.72972972972973,63,10.5,123,0,11.714285714285714,159,26.5,198,11,7.471698113207547,107,17.833333333333332,149,4,8.355140186915888,36.44859813084112,75,12.5,112,3,8.96,22.666666666666664,40,6.666666666666667,60,4,9.0,25.0,8,3,3,219,38,6.333333333333333,63,0,9.947368421052632,19,3.1666666666666665,40,0,12.631578947368421,6,1.0,20,0,20.0,69,11.5,86,4,7.478260869565218,56,9.333333333333334,72,3,7.7142857142857135,34,5.666666666666667,40,4,7.0588235294117645
MA Wood,102,17.0,142,11,8.352941176470589,30.392156862745097,50,8.333333333333334,92,4,11.04,52,8.666666666666666,50,7,5.76923076923077,26,4.333333333333333,40,2,9.230769230769232,30.76923076923077,30,5.0,24,2,4.8,43.333333333333336,46,7.666666666666667,78,7,10.17391304347826,21.73913043478261,6,5,6,128,12,2.0,33,0,16.5,12,2.0,11,1,5.5,26,4.333333333333333,48,3,11.076923076923078,14,2.3333333333333335,7,2,3.0,18,3.0,13,1,4.333333333333333,20,3.3333333333333335,30,4,9.0
Abhishek Sharma,332,55.333333333333336,488,10,8.819277108433734,24.096385542168676,118,19.666666666666668,152,5,7.728813559322034,214,35.666666666666664,336,5,9.420560747663552,68,11.333333333333334,99,0,8.735294117647058,32.35294117647059,245,40.833333333333336,336,9,8.228571428571428,23.26530612244898,19,3.1666666666666665,53,1,16.736842105263158,5.263157894736842,6,4,5,300,31,5.166666666666667,39,0,7.548387096774193,87,14.5,113,5,7.793103448275862,0,0.0,0,0,0.0,37,6.166666666666667,60,0,9.72972972972973,158,26.333333333333332,223,4,8.468354430379748,19,3.1666666666666665,53,1,16.736842105263158
S Kaul,231,38.5,360,10,9.35064935064935,30.303030303030305,145,24.166666666666668,263,8,10.882758620689655,86,14.333333333333334,97,2,6.767441860465116,67,11.166666666666666,119,2,10.656716417910449,31.343283582089555,74,12.333333333333334,101,0,8.18918918918919,36.486486486486484,90,15.0,140,8,9.333333333333334,24.444444444444443,7,3,8,240,49,8.166666666666666,95,1,11.63265306122449,44,7.333333333333333,71,0,9.681818181818182,52,8.666666666666666,97,7,11.192307692307693,18,3.0,24,1,8.0,30,5.0,30,0,6.0,38,6.333333333333333,43,1,6.7894736842105265
Rasikh Salam,218,36.333333333333336,370,10,10.18348623853211,23.394495412844037,84,14.0,134,3,9.571428571428571,134,22.333333333333332,236,7,10.567164179104479,42,7.0,79,0,11.285714285714286,33.33333333333333,115,19.166666666666668,194,7,10.121739130434783,18.26086956521739,61,10.166666666666666,97,3,9.540983606557377,26.229508196721312,8,2,7,198,30,5.0,54,0,10.8,47,7.833333333333333,75,2,9.574468085106384,7,1.1666666666666667,5,1,4.285714285714286,12,2.0,25,0,12.5,68,11.333333333333334,119,5,10.5,54,9.0,92,2,10.222222222222221
A Kamboj,198,33.0,288,10,8.727272727272727,32.323232323232325,122,20.333333333333332,198,4,9.737704918032787,76,12.666666666666666,90,6,7.105263157894737,161,26.833333333333332,232,8,8.645962732919255,34.78260869565217,34,5.666666666666667,53,1,9.352941176470587,23.52941176470588,3,0.5,3,1,6.0,0.0,6,4,6,203,88,14.666666666666666,145,3,9.886363636363637,34,5.666666666666667,53,1,9.352941176470587,0,0.0,0,0,0.0,73,12.166666666666666,87,5,7.1506849315068495,0,0.0,0,0,0.0,3,0.5,3,1,6.0
MP Yadav,129,21.5,188,10,8.744186046511627,36.434108527131784,75,12.5,132,3,10.56,54,9.0,56,7,6.222222222222222,38,6.333333333333333,74,3,11.68421052631579,36.84210526315789,70,11.666666666666666,90,4,7.714285714285714,40.0,21,3.5,24,3,6.857142857142857,23.809523809523807,8,2,1,32,26,4.333333333333333,55,1,12.692307692307693,34,5.666666666666667,57,0,10.058823529411764,15,2.5,20,2,8.0,12,2.0,19,2,9.5,36,6.0,33,4,5.5,6,1.0,4,1,4.0
