bowler,total_balls,total_overs,total_runs,total_wickets,overall_economy,dot_ball_pct,inn1_balls,inn1_overs,inn1_runs,inn1_wickets,inn1_economy,inn2_balls,inn2_overs,inn2_runs,inn2_wickets,inn2_economy,powerplay_balls,powerplay_overs,powerplay_runs,powerplay_wickets,powerplay_economy,powerplay_dot_ball_pct,middle_balls,middle_overs,middle_runs,middle_wickets,middle_economy,middle_dot_ball_pct,death_balls,death_overs,death_runs,death_wickets,death_economy,death_dot_ball_pct,wickets_in_wins,wickets_in_losses,wickets_in_close_matches,runs_in_close_matches,inn1_powerplay_balls,inn1_powerplay_overs,inn1_powerplay_runs,inn1_powerplay_wickets,inn1_powerplay_economy,inn1_middle_balls,inn1_middle_overs,inn1_middle_runs,inn1_middle_wickets,inn1_middle_economy,inn1_death_balls,inn1_death_overs,inn1_death_runs,inn1_death_wickets,inn1_death_economy,inn2_powerplay_balls,inn2_powerplay_overs,inn2_powerplay_runs,inn2_powerplay_wickets,inn2_powerplay_economy,inn2_middle_balls,inn2_middle_overs,inn2_middle_runs,inn2_middle_wickets,inn2_middle_economy,inn2_death_balls,inn2_death_overs,inn2_death_runs,inn2_death_wickets,inn2_death_economy
Nithish Kumar Reddy,152,25.333333333333332,255,8,10.06578947368421,21.052631578947366,43,7.166666666666667,91,4,12.69767441860465,109,18.166666666666668,164,4,9.027522935779816,19,3.1666666666666665,28,0,8.842105263157896,36.84210526315789,95,15.833333333333334,149,2,9.410526315789474,23.157894736842106,38,6.333333333333333,78,6,12.31578947368421,7.894736842105263,8,0,5,210,7,1.1666666666666667,9,0,7.7142857142857135,13,2.1666666666666665,28,0,12.923076923076923,23,3.8333333333333335,54,4,14.086956521739129,12,2.0,19,0,9.5,82,13.666666666666666,121,2,8.853658536585366,15,2.5,24,2,9.6
JDS Neesham,165,27.5,246,7,8.945454545454545,25.454545454545453,91,15.166666666666666,137,4,9.032967032967033,74,12.333333333333334,109,3,8.837837837837837,31,5.166666666666667,49,1,9.483870967741934,45.16129032258064,122,20.333333333333332,157,6,7.721311475409837,22.950819672131146,12,2.0,40,0,20.0,0.0,6,1,5,121,12,2.0,19,1,9.5,67,11.166666666666666,78,3,6.985074626865672,12,2.0,40,0,20.0,19,3.1666666666666665,30,0,9.473684210526317,55,9.166666666666666,79,3,8.618181818181819,0,0.0,0,0,0.0
D Pretorius,166,27.666666666666668,242,7,8.74698795180723,21.084337349397593,114,19.0,169,4,8.894736842105264,52,8.666666666666666,73,3,8.423076923076923,0,0.0,0,0,0.0,0.0,85,14.166666666666666,93,4,6.564705882352942,20.0,81,13.5,149,3,11.037037037037036,22.22222222222222,1,6,5,211,0,0.0,0,0,0.0,53,8.833333333333334,53,1,6.0,61,10.166666666666666,116,3,11.40983606557377,0,0.0,0,0,0.0,32,5.333333333333333,40,3,7.5,20,3.3333333333333335,33,0,9.9
AS Roy,152,25.333333333333332,207,7,8.171052631578947,29.605263157894733,54,9.0,61,1,6.777777777777778,98,16.333333333333332,146,6,8.938775510204083,54,9.0,90,2,10.0,31.48148148148148,86,14.333333333333334,105,4,7.325581395348837,30.23255813953488,12,2.0,12,1,6.0,16.666666666666664,4,3,7,180,24,4.0,27,0,6.75,30,5.0,34,1,6.8,0,0.0,0,0,0.0,30,5.0,63,2,12.6,56,9.333333333333334,71,3,7.607142857142857,12,2.0,12,1,6.0
NA Saini,316,52.666666666666664,447,7,8.487341772151899,34.49367088607595,125,20.833333333333332,207,2,9.936,191,31.833333333333332,240,5,7.539267015706806,120,20.0,139,3,6.95,43.333333333333336,109,18.166666666666668,161,2,8.862385321100916,33.94495412844037,87,14.5,147,2,10.137931034482758,22.988505747126435,6,1,5,260,45,7.5,63,2,8.4,49,8.166666666666666,81,0,9.918367346938776,31,5.166666666666667,63,0,12.193548387096774,75,12.5,76,1,6.08,60,10.0,80,2,8.0,56,9.333333333333334,84,2,9.0
TK Curran,188,31.333333333333332,314,7,10.02127659574468,18.617021276595743,97,16.166666666666668,155,3,9.587628865979381,91,15.166666666666666,159,4,10.483516483516484,32,5.333333333333333,44,0,8.25,43.75,64,10.666666666666666,79,4,7.40625,18.75,92,15.333333333333334,191,3,12.456521739130434,9.782608695652174,3,4,5,188,20,3.3333333333333335,16,0,4.8,19,3.1666666666666665,33,1,10.421052631578949,58,9.666666666666666,106,2,10.965517241379311,12,2.0,28,0,14.0,45,7.5,46,3,6.133333333333334,34,5.666666666666667,85,1,15.0
N Burger,105,17.5,152,7,8.685714285714285,37.142857142857146,51,8.5,67,3,7.882352941176471,54,9.0,85,4,9.444444444444445,62,10.333333333333334,105,4,10.161290322580644,40.32258064516129,24,4.0,34,2,8.5,16.666666666666664,19,3.1666666666666665,13,1,4.105263157894737,52.63157894736842,6,1,6,118,32,5.333333333333333,58,1,10.875,6,1.0,4,1,4.0,13,2.1666666666666665,5,1,2.307692307692308,30,5.0,47,3,9.4,18,3.0,30,1,10.0,6,1.0,8,0,8.0
OF Smith,95,15.833333333333334,179,7,11.305263157894736,29.47368421052631,25,4.166666666666667,53,0,12.719999999999999,70,11.666666666666666,126,7,10.8,18,3.0,21,1,7.0,50.0,57,9.5,112,2,11.789473684210526,29.82456140350877,20,3.3333333333333335,46,4,13.799999999999999,10.0,5,2,6,165,12,2.0,12,0,6.0,7,1.1666666666666667,23,0,19.71428571428571,6,1.0,18,0,18.0,6,1.0,9,1,9.0,50,8.333333333333334,89,2,10.68,14,2.3333333333333335,28,4,12.0
R Parag,225,37.5,357,7,9.52,18.22222222222222,154,25.666666666666668,227,6,8.844155844155845,71,11.833333333333334,130,1,10.985915492957746,6,1.0,6,0,6.0,50.0,204,34.0,320,7,9.411764705882353,18.137254901960784,15,2.5,31,0,12.4,6.666666666666667,1,6,5,239,0,0.0,0,0,0.0,146,24.333333333333332,214,6,8.794520547945206,8,1.3333333333333333,13,0,9.75,6,1.0,6,0,6.0,58,9.666666666666666,106,1,10.965517241379311,7,1.1666666666666667,18,0,15.428571428571427
R Dhawan,180,30.0,267,7,8.9,26.111111111111114,51,8.5,60,1,7.0588235294117645,129,21.5,207,6,9.627906976744185,80,13.333333333333334,119,3,8.924999999999999,38.75,93,15.5,133,3,8.580645161290322,16.129032258064516,7,1.1666666666666667,15,1,12.857142857142856,14.285714285714285,5,2,5,172,12,2.0,17,0,8.5,39,6.5,43,1,6.615384615384615,0,0.0,0,0,0.0,68,11.333333333333334,102,3,9.0,54,9.0,90,2,10.0,7,1.1666666666666667,15,1,12.857142857142856
S Nadeem,161,26.833333333333332,215,7,8.012422360248447,19.875776397515526,154,25.666666666666668,207,6,8.064935064935064,7,1.1666666666666667,8,1,6.857142857142857,32,5.333333333333333,47,1,8.8125,31.25,129,21.5,168,6,7.813953488372093,17.05426356589147,0,0.0,0,0,0.0,0.0,6,1,6,129,25,4.166666666666667,39,0,9.36,129,21.5,168,6,7.813953488372093,0,0.0,0,0,0.0,7,1.1666666666666667,8,1,6.857142857142857,0,0.0,0,0,0.0,0,0.0,0,0,0.0
DG Nalkande,89,14.833333333333334,150,6,10.112359550561797,17.97752808988764,69,11.5,121,5,10.521739130434783,20,3.3333333333333335,29,1,8.7,13,2.1666666666666665,22,0,10.153846153846155,38.46153846153847,56,9.333333333333334,97,5,10.392857142857142,14.285714285714285,20,3.3333333333333335,31,1,9.299999999999999,15.0,2,4,3,84,13,2.1666666666666665,22,0,10.153846153846155,43,7.166666666666667,81,5,11.302325581395348,13,2.1666666666666665,18,0,8.307692307692308,0,0.0,0,0,0.0,13,2.1666666666666665,16,0,7.384615384615385,7,1.1666666666666667,13,1,11.142857142857142
W O'Rourke,64,10.666666666666666,132,6,12.375,14.0625,0,0.0,0,0,0.0,64,10.666666666666666,132,6,12.375,25,4.166666666666667,52,2,12.479999999999999,32.0,25,4.166666666666667,50,2,12.0,0.0,14,2.3333333333333335,30,2,12.857142857142856,7.142857142857142,3,3,3,105,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,25,4.166666666666667,52,2,12.479999999999999,25,4.166666666666667,50,2,12.0,14,2.3333333333333335,30,2,12.857142857142856
Swapnil Singh,104,17.333333333333332,151,6,8.711538461538462,22.115384615384613,30,5.0,31,1,6.2,74,12.333333333333334,120,5,9.72972972972973,43,7.166666666666667,62,5,8.651162790697674,32.55813953488372,61,10.166666666666666,89,1,8.754098360655739,14.754098360655737,0,0.0,0,0,0.0,0.0,6,0,1,54,18,3.0,18,1,6.0,12,2.0,13,0,6.5,0,0.0,0,0,0.0,25,4.166666666666667,44,4,10.559999999999999,49,8.166666666666666,76,1,9.306122448979593,0,0.0,0,0,0.0
TS Mills,107,17.833333333333332,192,6,10.766355140186917,20.5607476635514,69,11.5,128,3,11.130434782608695,38,6.333333333333333,64,3,10.105263157894738,33,5.5,48,3,8.727272727272727,33.33333333333333,49,8.166666666666666,95,1,11.63265306122449,14.285714285714285,25,4.166666666666667,49,2,11.76,16.0,0,6,3,101,20,3.3333333333333335,29,1,8.7,24,4.0,50,0,12.5,25,4.166666666666667,49,2,11.76,13,2.1666666666666665,19,2,8.76923076923077,25,4.166666666666667,45,1,10.799999999999999,0,0.0,0,0,0.0
Navdeep Saini,76,12.666666666666666,139,6,10.973684210526317,19.736842105263158,25,4.166666666666667,40,3,9.6,51,8.5,99,3,11.647058823529411,25,4.166666666666667,54,2,12.959999999999999,28.000000000000004,38,6.333333333333333,72,3,11.368421052631579,7.894736842105263,13,2.1666666666666665,13,1,6.0,38.46153846153847,5,1,4,103,6,1.0,12,1,12.0,13,2.1666666666666665,20,2,9.230769230769232,6,1.0,8,0,8.0,19,3.1666666666666665,42,1,13.263157894736842,25,4.166666666666667,52,1,12.479999999999999,7,1.1666666666666667,5,1,4.285714285714286
Basil Thampi,126,21.0,204,6,9.714285714285714,29.365079365079367,56,9.333333333333334,120,3,12.857142857142856,70,11.666666666666666,84,3,7.2,55,9.166666666666666,79,0,8.618181818181819,41.81818181818181,37,6.166666666666667,58,3,9.405405405405405,27.027027027027028,34,5.666666666666667,67,3,11.823529411764705,11.76470588235294,1,5,6,178,24,4.0,56,0,14.0,6,1.0,10,0,10.0,26,4.333333333333333,54,3,12.461538461538462,31,5.166666666666667,23,0,4.451612903225806,31,5.166666666666667,48,3,9.29032258064516,8,1.3333333333333333,13,0,9.75
MG Bracewell,66,11.0,95,6,8.636363636363637,30.303030303030305,42,7.0,63,4,9.0,24,4.0,32,2,8.0,12,2.0,13,3,6.5,33.33333333333333,54,9.0,82,3,9.11111111111111,29.629629629629626,0,0.0,0,0,0.0,0.0,5,1,3,45,6,1.0,6,2,6.0,36,6.0,57,2,9.5,0,0.0,0,0,0.0,6,1.0,7,1,7.0,18,3.0,25,1,8.333333333333334,0,0.0,0,0,0.0
SS Cottrell,131,21.833333333333332,177,6,8.106870229007635,39.69465648854962,70,11.666666666666666,78,3,6.685714285714286,61,10.166666666666666,99,3,9.737704918032787,92,15.333333333333334,108,4,7.0434782608695645,47.82608695652174,20,3.3333333333333335,21,0,6.3,25.0,19,3.1666666666666665,48,2,15.157894736842106,15.789473684210526,4,2,3,106,45,7.5,51,1,6.8,12,2.0,9,0,4.5,13,2.1666666666666665,18,2,8.307692307692308,47,7.833333333333333,57,3,7.276595744680852,8,1.3333333333333333,12,0,9.0,6,1.0,30,0,30.0
AK Markram,191,31.833333333333332,275,6,8.638743455497382,21.465968586387437,79,13.166666666666666,129,2,9.79746835443038,112,18.666666666666668,146,4,7.821428571428571,44,7.333333333333333,59,1,8.045454545454545,36.36363636363637,146,24.333333333333332,215,5,8.835616438356166,17.123287671232877,1,0.16666666666666666,1,0,6.0,0.0,2,4,6,241,6,1.0,5,0,5.0,73,12.166666666666666,124,2,10.191780821917808,0,0.0,0,0,0.0,38,6.333333333333333,54,1,8.526315789473685,73,12.166666666666666,91,3,7.479452054794521,1,0.16666666666666666,1,0,6.0
Fazalhaq Farooqi,266,44.333333333333336,440,6,9.924812030075188,27.819548872180448,171,28.5,331,3,11.614035087719298,95,15.833333333333334,109,3,6.88421052631579,138,23.0,197,3,8.565217391304348,37.68115942028986,76,12.666666666666666,119,2,9.394736842105264,22.36842105263158,52,8.666666666666666,124,1,14.307692307692308,9.615384615384617,0,6,3,178,86,14.333333333333334,153,1,10.674418604651162,42,7.0,75,1,10.714285714285714,43,7.166666666666667,103,1,14.372093023255813,52,8.666666666666666,44,2,5.0769230769230775,34,5.666666666666667,44,1,7.764705882352941,9,1.5,21,0,14.0
V Puthur,73,12.166666666666666,109,6,8.958904109589042,24.65753424657534,49,8.166666666666666,77,3,9.428571428571429,24,4.0,32,3,8.0,0,0.0,0,0,0.0,0.0,60,10.0,85,6,8.5,26.666666666666668,13,2.1666666666666665,24,0,11.076923076923078,15.384615384615385,1,5,6,109,0,0.0,0,0,0.0,42,7.0,68,3,9.714285714285714,7,1.1666666666666667,9,0,7.7142857142857135,0,0.0,0,0,0.0,18,3.0,17,3,5.666666666666667,6,1.0,15,0,15.0
Ramandeep Singh,45,7.5,64,6,8.533333333333333,13.333333333333334,41,6.833333333333333,55,6,8.048780487804878,4,0.6666666666666666,9,0,13.5,0,0.0,0,0,0.0,0.0,19,3.1666666666666665,23,2,7.2631578947368425,15.789473684210526,26,4.333333333333333,41,4,9.461538461538462,11.538461538461538,3,3,6,64,0,0.0,0,0,0.0,19,3.1666666666666665,23,2,7.2631578947368425,22,3.6666666666666665,32,4,8.727272727272728,0,0.0,0,0,0.0,0,0.0,0,0,0.0,4,0.6666666666666666,9,0,13.5
S Sandeep Warrier,103,17.166666666666668,171,6,9.96116504854369,35.92233009708738,59,9.833333333333334,85,3,8.64406779661017,44,7.333333333333333,86,3,11.727272727272728,89,14.833333333333334,146,6,9.842696629213483,38.20224719101123,14,2.3333333333333335,25,0,10.714285714285714,21.428571428571427,0,0.0,0,0,0.0,0.0,1,5,5,109,51,8.5,75,3,8.823529411764707,8,1.3333333333333333,10,0,7.5,0,0.0,0,0,0.0,38,6.333333333333333,71,3,11.210526315789474,6,1.0,15,0,15.0,0,0.0,0,0,0.0
S Dube,119,19.833333333333332,215,6,10.840336134453782,13.445378151260504,48,8.0,80,2,10.0,71,11.833333333333334,135,4,11.408450704225352,0,0.0,0,0,0.0,0.0,81,13.5,142,2,10.518518518518519,16.049382716049383,38,6.333333333333333,73,4,11.526315789473685,7.894736842105263,3,3,4,117,0,0.0,0,0,0.0,36,6.0,51,1,8.5,12,2.0,29,1,14.5,0,0.0,0,0,0.0,45,7.5,91,1,12.133333333333333,26,4.333333333333333,44,3,10.153846153846155
HR Shokeen,213,35.5,320,5,9.014084507042254,34.27230046948357,157,26.166666666666668,231,5,8.828025477707007,56,9.333333333333334,89,0,9.535714285714285,55,9.166666666666666,67,2,7.3090909090909095,52.72727272727272,152,25.333333333333332,229,2,9.039473684210527,28.289473684210524,6,1.0,24,1,24.0,16.666666666666664,5,0,5,291,48,8.0,49,2,6.125,103,17.166666666666668,158,2,9.20388349514563,6,1.0,24,1,24.0,7,1.1666666666666667,18,0,15.428571428571427,49,8.166666666666666,71,0,8.693877551020408,0,0.0,0,0,0.0
KL Nagarkoti,185,30.833333333333332,287,5,9.308108108108108,24.324324324324326,82,13.666666666666666,143,1,10.463414634146343,103,17.166666666666668,144,4,8.388349514563107,31,5.166666666666667,45,0,8.709677419354838,41.935483870967744,123,20.5,184,4,8.975609756097562,17.88617886178862,31,5.166666666666667,58,1,11.225806451612902,32.25806451612903,4,1,1,142,7,1.1666666666666667,16,0,13.714285714285714,69,11.5,109,1,9.478260869565217,6,1.0,18,0,18.0,24,4.0,29,0,7.25,54,9.0,75,3,8.333333333333334,25,4.166666666666667,40,1,9.6
RJW Topley,125,20.833333333333332,222,5,10.656,31.2,63,10.5,121,3,11.523809523809524,62,10.333333333333334,101,2,9.774193548387096,61,10.166666666666666,91,2,8.950819672131148,40.98360655737705,33,5.5,62,1,11.272727272727273,27.27272727272727,31,5.166666666666667,69,2,13.354838709677418,16.129032258064516,1,4,3,115,24,4.0,46,1,11.5,14,2.3333333333333335,16,1,6.857142857142857,25,4.166666666666667,59,1,14.159999999999998,37,6.166666666666667,45,1,7.297297297297297,19,3.1666666666666665,46,0,14.526315789473685,6,1.0,10,1,10.0
Harsh Dubey,61,10.166666666666666,98,5,9.639344262295083,21.311475409836063,25,4.166666666666667,44,1,10.559999999999999,36,6.0,54,4,9.0,13,2.1666666666666665,25,0,11.53846153846154,30.76923076923077,48,8.0,73,5,9.125,18.75,0,0.0,0,0,0.0,0.0,5,0,1,44,13,2.1666666666666665,25,0,11.53846153846154,12,2.0,19,1,9.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,36,6.0,54,4,9.0,0,0.0,0,0,0.0
CR Woakes,67,11.166666666666666,85,5,7.611940298507463,37.3134328358209,43,7.166666666666667,62,3,8.651162790697674,24,4.0,23,2,5.75,42,7.0,38,3,5.428571428571429,52.38095238095239,0,0.0,0,0,0.0,0.0,25,4.166666666666667,47,2,11.28,12.0,3,2,5,85,24,4.0,24,1,6.0,0,0.0,0,0,0.0,19,3.1666666666666665,38,2,12.0,18,3.0,14,2,4.666666666666667,0,0.0,0,0,0.0,6,1.0,9,0,9.0
Shakib Al Hasan,157,26.166666666666668,188,5,7.184713375796178,28.02547770700637,127,21.166666666666668,153,3,7.228346456692913,30,5.0,35,2,7.0,66,11.0,81,2,7.363636363636363,40.909090909090914,91,15.166666666666666,107,3,7.054945054945056,18.681318681318682,0,0.0,0,0,0.0,0.0,4,1,4,129,48,8.0,67,0,8.375,79,13.166666666666666,86,3,6.531645569620253,0,0.0,0,0,0.0,18,3.0,14,2,4.666666666666667,12,2.0,21,0,10.5,0,0.0,0,0,0.0
Prince Yadav,144,24.0,226,5,9.416666666666666,25.694444444444443,78,13.0,116,4,8.923076923076923,66,11.0,110,1,10.0,24,4.0,33,0,8.25,58.333333333333336,85,14.166666666666666,114,3,8.047058823529412,22.35294117647059,35,5.833333333333333,79,2,13.542857142857143,11.428571428571429,2,3,3,139,6,1.0,14,0,14.0,60,10.0,80,3,8.0,12,2.0,22,1,11.0,18,3.0,19,0,6.333333333333333,25,4.166666666666667,34,0,8.16,23,3.8333333333333335,57,1,14.869565217391305
SH Johnson,172,28.666666666666668,289,5,10.081395348837209,31.3953488372093,120,20.0,196,2,9.8,52,8.666666666666666,93,3,10.730769230769232,86,14.333333333333334,143,1,9.976744186046512,39.53488372093023,38,6.333333333333333,77,1,12.157894736842106,18.421052631578945,48,8.0,69,3,8.625,27.083333333333332,3,2,4,218,48,8.0,85,0,10.625,32,5.333333333333333,60,1,11.25,40,6.666666666666667,51,1,7.6499999999999995,38,6.333333333333333,58,1,9.157894736842106,6,1.0,17,0,17.0,8,1.3333333333333333,18,2,13.5
DJ Willey,160,26.666666666666668,181,5,6.7875,34.375,92,15.333333333333334,94,3,6.130434782608695,68,11.333333333333334,87,2,7.6764705882352935,115,19.166666666666668,116,3,6.052173913043478,42.608695652173914,24,4.0,32,1,8.0,8.333333333333332,21,3.5,33,1,9.428571428571429,19.047619047619047,3,2,3,134,73,12.166666666666666,64,3,5.26027397260274,12,2.0,23,0,11.5,7,1.1666666666666667,7,0,6.0,42,7.0,52,0,7.428571428571429,12,2.0,9,1,4.5,14,2.3333333333333335,26,1,11.142857142857142
AJ Tye,96,16.0,167,5,10.4375,21.875,71,11.833333333333334,124,5,10.47887323943662,25,4.166666666666667,43,0,10.319999999999999,31,5.166666666666667,45,2,8.709677419354838,32.25806451612903,25,4.166666666666667,40,0,9.6,20.0,40,6.666666666666667,82,3,12.299999999999999,15.0,3,2,3,113,25,4.166666666666667,35,2,8.399999999999999,19,3.1666666666666665,25,0,7.894736842105264,27,4.5,64,3,14.222222222222221,6,1.0,10,0,10.0,6,1.0,15,0,15.0,13,2.1666666666666665,18,0,8.307692307692308
Arjun Tendulkar,83,13.833333333333334,117,4,8.457831325301205,32.53012048192771,63,10.5,97,2,9.238095238095237,20,3.3333333333333335,20,2,6.0,60,10.0,57,1,5.7,43.333333333333336,9,1.5,24,1,16.0,0.0,14,2.3333333333333335,36,2,15.428571428571427,7.142857142857142,2,2,3,86,46,7.666666666666667,42,1,5.478260869565217,9,1.5,24,1,16.0,8,1.3333333333333333,31,0,23.25,14,2.3333333333333335,15,0,6.428571428571428,0,0.0,0,0,0.0,6,1.0,5,2,5.0
KM Asif,105,17.5,157,4,8.971428571428572,24.761904761904763,72,12.0,124,3,10.333333333333334,33,5.5,33,1,6.0,19,3.1666666666666665,35,0,11.052631578947368,42.10526315789473,65,10.833333333333334,75,4,6.9230769230769225,23.076923076923077,21,3.5,47,0,13.428571428571429,14.285714285714285,1,3,2,100,13,2.1666666666666665,28,0,12.923076923076923,39,6.5,51,3,7.846153846153846,20,3.3333333333333335,45,0,13.5,6,1.0,7,0,7.0,26,4.333333333333333,24,1,5.538461538461539,1,0.16666666666666666,2,0,12.0
J Yadav,172,28.666666666666668,200,4,6.976744186046512,34.883720930232556,75,12.5,97,1,7.76,97,16.166666666666668,103,3,6.371134020618556,60,10.0,80,3,8.0,33.33333333333333,100,16.666666666666668,110,1,6.6,35.0,12,2.0,10,0,5.0,41.66666666666667,1,3,4,200,30,5.0,39,1,7.8,39,6.5,51,0,7.846153846153846,6,1.0,7,0,7.0,30,5.0,41,2,8.2,61,10.166666666666666,59,1,5.803278688524591,6,1.0,3,0,3.0
Imran Tahir,92,15.333333333333334,94,4,6.130434782608695,30.434782608695656,48,8.0,54,1,6.75,44,7.333333333333333,40,3,5.454545454545455,6,1.0,5,0,5.0,16.666666666666664,80,13.333333333333334,77,4,5.7749999999999995,33.75,6,1.0,12,0,12.0,0.0,4,0,1,78,0,0.0,0,0,0.0,42,7.0,42,1,6.0,6,1.0,12,0,12.0,6,1.0,5,0,5.0,38,6.333333333333333,35,3,5.526315789473684,0,0.0,0,0,0.0
Mohammad Nabi,148,24.666666666666668,220,4,8.91891891891892,20.945945945945947,84,14.0,132,3,9.428571428571429,64,10.666666666666666,88,1,8.25,36,6.0,50,0,8.333333333333334,38.88888888888889,104,17.333333333333332,164,2,9.461538461538462,15.384615384615385,8,1.3333333333333333,6,2,4.5,12.5,0,4,4,130,36,6.0,50,0,8.333333333333334,42,7.0,79,1,11.285714285714286,6,1.0,3,2,3.0,0,0.0,0,0,0.0,62,10.333333333333334,85,1,8.225806451612902,2,0.3333333333333333,3,0,9.0
T Stubbs,37,6.166666666666667,69,4,11.18918918918919,24.324324324324326,13,2.1666666666666665,39,2,18.0,24,4.0,30,2,7.5,0,0.0,0,0,0.0,0.0,31,5.166666666666667,64,4,12.387096774193548,25.806451612903224,6,1.0,5,0,5.0,16.666666666666664,3,1,3,65,0,0.0,0,0,0.0,13,2.1666666666666665,39,2,18.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,18,3.0,25,2,8.333333333333334,6,1.0,5,0,5.0
AF Milne,102,17.0,154,4,9.058823529411764,33.33333333333333,49,8.166666666666666,71,4,8.693877551020408,53,8.833333333333334,83,0,9.39622641509434,56,9.333333333333334,83,3,8.892857142857142,41.07142857142857,25,4.166666666666667,30,0,7.199999999999999,32.0,21,3.5,41,1,11.714285714285714,14.285714285714285,0,4,0,83,24,4.0,25,3,6.25,7,1.1666666666666667,12,0,10.285714285714285,18,3.0,34,1,11.333333333333334,32,5.333333333333333,58,0,10.875,18,3.0,18,0,6.0,3,0.5,7,0,14.0
A Badoni,35,5.833333333333333,50,4,8.571428571428571,11.428571428571429,12,2.0,12,1,6.0,23,3.8333333333333335,38,3,9.91304347826087,1,0.16666666666666666,0,0,0.0,100.0,18,3.0,31,2,10.333333333333334,5.555555555555555,16,2.6666666666666665,19,2,7.125,12.5,3,1,0,28,0,0.0,0,0,0.0,6,1.0,6,1,6.0,6,1.0,6,0,6.0,1,0.16666666666666666,0,0,0.0,12,2.0,25,1,12.5,10,1.6666666666666667,13,2,7.8
DT Christian,104,17.333333333333332,156,4,9.0,23.076923076923077,68,11.333333333333334,88,4,7.764705882352941,36,6.0,68,0,11.333333333333334,6,1.0,15,0,15.0,16.666666666666664,82,13.666666666666666,121,4,8.853658536585366,24.390243902439025,16,2.6666666666666665,20,0,7.5,18.75,2,2,4,122,0,0.0,0,0,0.0,62,10.333333333333334,81,4,7.838709677419354,6,1.0,7,0,7.0,6,1.0,15,0,15.0,20,3.3333333333333335,40,0,12.0,10,1.6666666666666667,13,0,7.8
MC Henriques,61,10.166666666666666,47,4,4.622950819672131,40.98360655737705,49,8.166666666666666,35,3,4.285714285714286,12,2.0,12,1,6.0,30,5.0,24,1,4.8,53.333333333333336,25,4.166666666666667,17,3,4.08,32.0,6,1.0,6,0,6.0,16.666666666666664,0,4,4,47,18,3.0,12,0,4.0,25,4.166666666666667,17,3,4.08,6,1.0,6,0,6.0,12,2.0,12,1,6.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
M Siddharth,101,16.833333333333332,140,3,8.316831683168317,29.7029702970297,0,0.0,0,0,0.0,101,16.833333333333332,140,3,8.316831683168317,64,10.666666666666666,80,2,7.5,37.5,37,6.166666666666667,60,1,9.72972972972973,16.216216216216218,0,0.0,0,0,0.0,0.0,1,2,2,68,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,64,10.666666666666666,80,2,7.5,37,6.166666666666667,60,1,9.72972972972973,0,0.0,0,0,0.0
DJ Hooda,158,26.333333333333332,234,3,8.88607594936709,25.31645569620253,67,11.166666666666666,104,1,9.313432835820896,91,15.166666666666666,130,2,8.571428571428571,18,3.0,18,1,6.0,44.44444444444444,110,18.333333333333332,145,2,7.909090909090909,23.636363636363637,30,5.0,71,0,14.2,20.0,1,2,3,197,18,3.0,18,1,6.0,43,7.166666666666667,62,0,8.651162790697674,6,1.0,24,0,24.0,0,0.0,0,0,0.0,67,11.166666666666666,83,2,7.432835820895523,24,4.0,47,0,11.75
K Khejroliya,47,7.833333333333333,93,3,11.872340425531915,17.02127659574468,19,3.1666666666666665,44,2,13.894736842105264,28,4.666666666666667,49,1,10.5,12,2.0,27,0,13.5,25.0,19,3.1666666666666665,29,1,9.157894736842106,15.789473684210526,16,2.6666666666666665,37,2,13.875,12.5,1,2,0,20,6,1.0,14,0,14.0,0,0.0,0,0,0.0,13,2.1666666666666665,30,2,13.846153846153847,6,1.0,13,0,13.0,19,3.1666666666666665,29,1,9.157894736842106,3,0.5,7,0,14.0
Mujeeb Ur Rahman,88,14.666666666666666,141,3,9.613636363636363,25.0,88,14.666666666666666,141,3,9.613636363636363,0,0.0,0,0,0.0,24,4.0,40,0,10.0,33.33333333333333,57,9.5,93,2,9.789473684210526,19.298245614035086,7,1.1666666666666667,8,1,6.857142857142857,42.857142857142854,0,3,2,74,24,4.0,40,0,10.0,57,9.5,93,2,9.789473684210526,7,1.1666666666666667,8,1,6.857142857142857,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
Sikandar Raza,88,14.666666666666666,146,3,9.954545454545455,20.454545454545457,49,8.166666666666666,93,2,11.387755102040817,39,6.5,53,1,8.153846153846153,13,2.1666666666666665,28,0,12.923076923076923,30.76923076923077,75,12.5,118,3,9.44,18.666666666666668,0,0.0,0,0,0.0,0.0,3,0,2,100,6,1.0,17,0,17.0,43,7.166666666666667,76,2,10.604651162790697,0,0.0,0,0,0.0,7,1.1666666666666667,11,0,9.428571428571429,32,5.333333333333333,42,1,7.875,0,0.0,0,0,0.0
