POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
"96","Lizaad Williams","DC","1","2","2","6.0","72","'38/1","72.00","12.00","36.00","0","0"
"97","Mitchell Marsh","DC","1","4","3","8.0","103","'37/1","103.00","12.87","48.00","0","0"
"98","Marco Jansen","SRH","1","3","3","10.0","129","'45/1","129.00","12.90","60.00","0","0"
"99","Yudhvir Singh","LSG","1","2","2","4.0","52","'24/1","52.00","13.00","24.00","0","0"
"100","Romario Shepherd","MI","1","6","5","12.0","159","'54/1","159.00","13.25","72.00","0","0"
"101","Shivam Dube","CSK","1","14","1","1.0","14","'14/1","14.00","14.00","6.00","0","0"
"102","Washington Sundar","SRH","1","2","2","5.0","73","'46/1","73.00","14.60","30.00","0","0"
"103","Kwena Maphaka","MI","1","2","2","6.0","89","'23/1","89.00","14.83","36.00","0","0"
"104","Luke Wood","MI","1","2","2","6.0","93","'68/1","93.00","15.50","36.00","0","0"
"105","Akash Deep","RCB","1","1","1","3.3","55","'55/1","55.00","15.71","21.00","0","0"
