Team,Sr_No,Player,Nationality,Base_Price_INR,Winning_Bid_INR,Capped_Status
"CHENNAI SUPER KINGS","1","Noor Ahmad","Overseas","20000000","100000000","Capped"
"CHENNAI SUPER KINGS","2","Ravichandaran Ashwin","Indian","20000000","97500000","Capped"
"CHENNAI SUPER KINGS","3","Devon Conway","Overseas","20000000","62500000","Capped"
"CHENNAI SUPER KINGS","4","Syed Khaleel Ahmed","Indian","20000000","48000000","Capped"
"CHENNAI SUPER KINGS","5","Rachin Ravindra","Overseas","15000000","40000000","Capped"
"CHENNAI SUPER KINGS","6","Anshul Kamboj","Indian","3000000","34000000","Uncapped"
"CHENNAI SUPER KINGS","7","Rahul Tripathi","Indian","7500000","34000000","Capped"
"CHENNAI SUPER KINGS","8","Sam Curran","Overseas","20000000","24000000","Capped"
"CHENNAI SUPER KINGS","9","Gurjapneet Singh","Indian","3000000","22000000","Uncapped"
"CHENNAI SUPER KINGS","10","Nathan Ellis","Overseas","12500000","20000000","Capped"
"CHENNAI SUPER KINGS","11","Deepak Hooda","Indian","7500000","17000000","Capped"
"CHENNAI SUPER KINGS","12","Jamie Overton","Overseas","15000000","15000000","Capped"
"CHENNAI SUPER KINGS","13","Vijay Shankar","Indian","3000000","12000000","Uncapped"
"CHENNAI SUPER KINGS","14","Vansh Bedi","Indian","3000000","5500000","Uncapped"
"CHENNAI SUPER KINGS","15","Andre Siddarth","Indian","3000000","3000000","Uncapped"
"CHENNAI SUPER KINGS","16","Shreyas Gopal","Indian","3000000","3000000","Uncapped"
"CHENNAI SUPER KINGS","17","Ramakrishna Ghosh","Indian","3000000","3000000","Uncapped"
"CHENNAI SUPER KINGS","18","Kamlesh Nagarkoti","Indian","3000000","3000000","Uncapped"
"CHENNAI SUPER KINGS","19","Mukesh Choudhary","Indian","3000000","3000000","Uncapped"
"CHENNAI SUPER KINGS","20","Shaik Rasheed","Indian","3000000","3000000","Uncapped"
"DELHI CAPITALS","1","KL Rahul","Indian","20000000","140000000","Capped"
"DELHI CAPITALS","2","Mitchell Starc","Overseas","20000000","117500000","Capped"
"DELHI CAPITALS","3","T. Natarajan","Indian","20000000","107500000","Capped"
"DELHI CAPITALS","4","Jake Fraser-Mcgurk","Overseas","20000000","90000000","Capped"
"DELHI CAPITALS","5","Mukesh Kumar","Indian","20000000","80000000","Capped"
"DELHI CAPITALS","6","Harry Brook","Overseas","20000000","62500000","Capped"
"DELHI CAPITALS","7","Ashutosh Sharma","Indian","3000000","38000000","Uncapped"
"DELHI CAPITALS","8","Mohit Sharma","Indian","5000000","22000000","Uncapped"
