Team,Sr_No,Player,Nationality,Base_Price_INR,Winning_Bid_INR,Capped_Status
"DELHI CAPITALS","9","Faf Du Plessis","Overseas","20000000","20000000","Capped"
"DELHI CAPITALS","10","Sameer Rizvi","Indian","3000000","9500000","Uncapped"
"DELHI CAPITALS","11","Donovan Ferreira","Overseas","7500000","7500000","Capped"
"DELHI CAPITALS","12","Dushmantha Chameera","Overseas","7500000","7500000","Capped"
"DELHI CAPITALS","13","Vipraj Nigam","Indian","3000000","5000000","Uncapped"
"DELHI CAPITALS","14","Karun Nair","Indian","3000000","5000000","Uncapped"
"DELHI CAPITALS","15","Madhav Tiwari","Indian","3000000","4000000","Uncapped"
"DELHI CAPITALS","16","Tripurana Vijay","Indian","3000000","3000000","Uncapped"
"DELHI CAPITALS","17","Manvanth Kumar L","Indian","3000000","3000000","Uncapped"
"DELHI CAPITALS","18","Ajay Mandal","Indian","3000000","3000000","Uncapped"
"DELHI CAPITALS","19","Darshan Nalkande","Indian","3000000","3000000","Uncapped"
"GUJARAT TITANS","1","Jos  Buttler","Overseas","20000000","157500000","Capped"
"GUJARAT TITANS","2","Mohammad Siraj","Indian","20000000","122500000","Capped"
"GUJARAT TITANS","3","Kagiso Rabada","Overseas","20000000","107500000","Capped"
"GUJARAT TITANS","4","Prasidh Krishna","Indian","20000000","95000000","Capped"
"GUJARAT TITANS","5","Washington Sundar","Indian","20000000","32000000","Capped"
"GUJARAT TITANS","6","Sherfane Rutherford","Overseas","15000000","26000000","Capped"
"GUJARAT TITANS","7","Gerald Coetzee","Overseas","12500000","24000000","Capped"
"GUJARAT TITANS","8","Glenn Phillips","Overseas","20000000","20000000","Capped"
"GUJARAT TITANS","9","R. Sai Kishore","Indian","7500000","20000000","Capped"
"GUJARAT TITANS","10","Mahipal Lomror","Indian","5000000","17000000","Uncapped"
"GUJARAT TITANS","11","Gurnoor Singh Brar","Indian","3000000","13000000","Uncapped"
"GUJARAT TITANS","12","Mohd. Arshad Khan","Indian","3000000","13000000","Uncapped"
"GUJARAT TITANS","13","Karim Janat","Overseas","7500000","7500000","Capped"
"GUJARAT TITANS","14","Jayant Yadav","Indian","7500000","7500000","Capped"
"GUJARAT TITANS","15","Ishant Sharma","Indian","7500000","7500000","Capped"
"GUJARAT TITANS","16","Kumar Kushagra","Indian","3000000","6500000","Uncapped"
"GUJARAT TITANS","17","Kulwant Khejroliya","Indian","3000000","3000000","Uncapped"
"GUJARAT TITANS","18","Manav Suthar","Indian","3000000","3000000","Uncapped"
"GUJARAT TITANS","19","Anuj Rawat","Indian","3000000","3000000","Uncapped"
"GUJARAT TITANS","20","Nishant Sindhu","Indian","3000000","3000000","Uncapped"
"KOLKATA KNIGHT RIDERS","1","Venkatesh Iyer","Indian","20000000","237500000","Capped"
"KOLKATA KNIGHT RIDERS","2","Anrich Nortje","Overseas","20000000","65000000","Capped"
"KOLKATA KNIGHT RIDERS","3","Quinton De Kock","Overseas","20000000","36000000","Capped"
"KOLKATA KNIGHT RIDERS","4","Angkrish Raghuvanshi","Indian","3000000","30000000","Uncapped"
"KOLKATA KNIGHT RIDERS","5","Spencer Johnson","Overseas","20000000","28000000","Capped"
"KOLKATA KNIGHT RIDERS","6","Moeen Ali","Overseas","20000000","20000000","Capped"
"KOLKATA KNIGHT RIDERS","7","Rahmanullah Gurbaz","Overseas","20000000","20000000","Capped"
"KOLKATA KNIGHT RIDERS","8","Vaibhav Arora","Indian","3000000","18000000","Uncapped"
"KOLKATA KNIGHT RIDERS","9","Ajinkya Rahane","Indian","15000000","15000000","Capped"
"KOLKATA KNIGHT RIDERS","10","Rovman Powell","Overseas","15000000","15000000","Capped"
"KOLKATA KNIGHT RIDERS","11","Umran  Malik","Indian","7500000","7500000","Capped"
"KOLKATA KNIGHT RIDERS","12","Manish Pandey","Indian","7500000","7500000","Capped"
"KOLKATA KNIGHT RIDERS","13","Anukul Roy","Indian","3000000","4000000","Uncapped"
"KOLKATA KNIGHT RIDERS","14","Luvnith Sisodia","Indian","3000000","3000000","Uncapped"
"KOLKATA KNIGHT RIDERS","15","Mayank Markande","Indian","3000000","3000000","Uncapped"
"LUCKNOW SUPER GIANTS","1","Rishabh Pant","Indian","20000000","270000000","Capped"
"LUCKNOW SUPER GIANTS","2","Avesh Khan","Indian","20000000","97500000","Capped"
"LUCKNOW SUPER GIANTS","3","Akash Deep","Indian","10000000","80000000","Capped"
"LUCKNOW SUPER GIANTS","4","David Miller","Overseas","15000000","75000000","Capped"
"LUCKNOW SUPER GIANTS","5","Abdul Samad","Indian","3000000","42000000","Uncapped"
"LUCKNOW SUPER GIANTS","6","Mitchell Marsh","Overseas","20000000","34000000","Capped"
"LUCKNOW SUPER GIANTS","7","Shahbaz Ahamad","Indian","10000000","24000000","Capped"
"LUCKNOW SUPER GIANTS","8","Aiden Markram","Overseas","20000000","20000000","Capped"
"LUCKNOW SUPER GIANTS","9","Matthew Breetzke","Overseas","7500000","7500000","Capped"
"LUCKNOW SUPER GIANTS","10","Shamar Joseph","Overseas","7500000","7500000","Capped"
"LUCKNOW SUPER GIANTS","11","M. Siddharth","Indian","3000000","7500000","Uncapped"
"LUCKNOW SUPER GIANTS","12","Arshin Kulkarni","Indian","3000000","3000000","Uncapped"
"LUCKNOW SUPER GIANTS","13","Rajvardhan Hangargekar","Indian","3000000","3000000","Uncapped"
"LUCKNOW SUPER GIANTS","14","Yuvraj Chaudhary","Indian","3000000","3000000","Uncapped"
"LUCKNOW SUPER GIANTS","15","Prince Yadav","Indian","3000000","3000000","Uncapped"
"LUCKNOW SUPER GIANTS","16","Akash Singh","Indian","3000000","3000000","Uncapped"
"LUCKNOW SUPER GIANTS","17","Digvesh Singh","Indian","3000000","3000000","Uncapped"
"LUCKNOW SUPER GIANTS","18","Himmat Singh","Indian","3000000","3000000","Uncapped"
"LUCKNOW SUPER GIANTS","19","Aryan Juyal","Indian","3000000","3000000","Uncapped"
"MUMBAI INDIANS","1","Trent Boult","Overseas","20000000","125000000","Capped"
"MUMBAI INDIANS","2","Deepak Chahar","Indian","20000000","92500000","Capped"
"MUMBAI INDIANS","3","Will Jacks","Overseas","20000000","52500000","Capped"
"MUMBAI INDIANS","4","Naman Dhir","Indian","3000000","52500000","Uncapped"
"MUMBAI INDIANS","5","Allah  Ghazanfar","Overseas","7500000","48000000","Capped"
"MUMBAI INDIANS","6","Mitchell Santner","Overseas","20000000","20000000","Capped"
"MUMBAI INDIANS","7","Ryan Rickelton","Overseas","10000000","10000000","Capped"
"MUMBAI INDIANS","8","Lizaad Williams","Overseas","7500000","7500000","Capped"
"MUMBAI INDIANS","9","Reece Topley","Overseas","7500000","7500000","Capped"
"MUMBAI INDIANS","10","Robin Minz","Indian","3000000","6500000","Uncapped"
"MUMBAI INDIANS","11","Karn Sharma","Indian","5000000","5000000","Uncapped"
"MUMBAI INDIANS","12","Vignesh Puthur","Indian","3000000","3000000","Uncapped"
"MUMBAI INDIANS","13","Arjun  Tendulkar","Indian","3000000","3000000","Uncapped"
"MUMBAI INDIANS","14","Bevan John Jacobs","Overseas","3000000","3000000","Uncapped"
"MUMBAI INDIANS","15","Venkata Satyanarayana Penmetsa","Indian","3000000","3000000","Uncapped"
"MUMBAI INDIANS","16","Raj Angad Bawa","Indian","3000000","3000000","Uncapped"
"MUMBAI INDIANS","17","Shrijith Krishnan","Indian","3000000","3000000","Uncapped"
"MUMBAI INDIANS","18","Ashwani Kumar","Indian","3000000","3000000","Uncapped"
"PUNJAB KINGS","1","Shreyas Iyer","Indian","20000000","267500000","Capped"
"PUNJAB KINGS","2","Yuzvendra Chahal","Indian","20000000","180000000","Capped"
"PUNJAB KINGS","3","Arshdeep Singh","Indian","20000000","180000000","Capped"
"PUNJAB KINGS","4","Marcus Stoinis","Overseas","20000000","110000000","Capped"
"PUNJAB KINGS","5","Marco Jansen","Overseas","12500000","70000000","Capped"
"PUNJAB KINGS","6","Nehal Wadhera","Indian","3000000","42000000","Uncapped"
"PUNJAB KINGS","7","Glenn Maxwell","Overseas","20000000","42000000","Capped"
"PUNJAB KINGS","8","Priyansh Arya","Indian","3000000","38000000","Uncapped"
"PUNJAB KINGS","9","Josh Inglis","Overseas","20000000","26000000","Capped"
"PUNJAB KINGS","10","Azmatullah Omarzai","Overseas","15000000","24000000","Capped"
"PUNJAB KINGS","11","Lockie Ferguson","Overseas","20000000","20000000","Capped"
"PUNJAB KINGS","12","Vyshak Vijaykumar","Indian","3000000","18000000","Uncapped"
"PUNJAB KINGS","13","Yash Thakur","Indian","3000000","16000000","Uncapped"
"PUNJAB KINGS","14","Harpreet  Brar","Indian","3000000","15000000","Uncapped"
"PUNJAB KINGS","15","Aaron Hardie","Overseas","12500000","12500000","Capped"
"PUNJAB KINGS","16","Vishnu Vinod","Indian","3000000","9500000","Uncapped"
"PUNJAB KINGS","17","Xavier Bartlett","Overseas","7500000","8000000","Capped"
"PUNJAB KINGS","18","Kuldeep  Sen","Indian","7500000","8000000","Capped"
"PUNJAB KINGS","19","Pravin Dubey","Indian","3000000","3000000","Uncapped"
"PUNJAB KINGS","20","Pyla Avinash","Indian","3000000","3000000","Uncapped"
"PUNJAB KINGS","21","Suryansh  Shedge","Indian","3000000","3000000","Uncapped"
"PUNJAB KINGS","22","Musheer Khan","Indian","3000000","3000000","Uncapped"
"PUNJAB KINGS","23","Harnoor Pannu","Indian","3000000","3000000","Uncapped"
"RAJASTHAN ROYALS","1","Jofra Archer","Overseas","20000000","125000000","Capped"
"RAJASTHAN ROYALS","2","Tushar Deshpande","Indian","10000000","65000000","Capped"
"RAJASTHAN ROYALS","3","Wanindu Hasaranga","Overseas","20000000","52500000","Capped"
"RAJASTHAN ROYALS","4","Maheesh Theekshana","Overseas","20000000","44000000","Capped"
"RAJASTHAN ROYALS","5","Nitish Rana","Indian","15000000","42000000","Capped"
"RAJASTHAN ROYALS","6","Fazalhaq Farooqi","Overseas","20000000","20000000","Capped"
"RAJASTHAN ROYALS","7","Kwena Maphaka","Overseas","7500000","15000000","Capped"
"RAJASTHAN ROYALS","8","Akash Madhwal","Indian","3000000","12000000","Uncapped"
"RAJASTHAN ROYALS","9","Vaibhav Suryavanshi","Indian","3000000","11000000","Uncapped"
"RAJASTHAN ROYALS","10","Shubham Dubey","Indian","3000000","8000000","Uncapped"
"RAJASTHAN ROYALS","11","Yudhvir Charak","Indian","3000000","3500000","Uncapped"
"RAJASTHAN ROYALS","12","Ashok Sharma","Indian","3000000","3000000","Uncapped"
"RAJASTHAN ROYALS","13","Kunal Rathore","Indian","3000000","3000000","Uncapped"
"RAJASTHAN ROYALS","14","Kumar Kartikeya Singh","Indian","3000000","3000000","Uncapped"
"ROYAL CHALLENGERS BENGALURU","1","Josh Hazlewood","Overseas","20000000","125000000","Capped"
"ROYAL CHALLENGERS BENGALURU","2","Phil Salt","Overseas","20000000","115000000","Capped"
"ROYAL CHALLENGERS BENGALURU","3","Jitesh Sharma","Indian","10000000","110000000","Capped"
"ROYAL CHALLENGERS BENGALURU","4","Bhuvneshwar Kumar","Indian","20000000","107500000","Capped"
"ROYAL CHALLENGERS BENGALURU","5","Liam Livingstone","Overseas","20000000","87500000","Capped"
"ROYAL CHALLENGERS BENGALURU","6","Rasikh Dar","Indian","3000000","60000000","Uncapped"
"ROYAL CHALLENGERS BENGALURU","7","Krunal Pandya","Indian","20000000","57500000","Capped"
"ROYAL CHALLENGERS BENGALURU","8","Tim David","Overseas","20000000","30000000","Capped"
"ROYAL CHALLENGERS BENGALURU","9","Jacob Bethell","Overseas","12500000","26000000","Capped"
"ROYAL CHALLENGERS BENGALURU","10","Suyash Sharma","Indian","3000000","26000000","Uncapped"
"ROYAL CHALLENGERS BENGALURU","11","Devdutt Padikkal","Indian","20000000","20000000","Capped"
"ROYAL CHALLENGERS BENGALURU","12","Nuwan Thushara","Overseas","7500000","16000000","Capped"
"ROYAL CHALLENGERS BENGALURU","13","Romario Shepherd","Overseas","15000000","15000000","Capped"
"ROYAL CHALLENGERS BENGALURU","14","Lungisani Ngidi","Overseas","10000000","10000000","Capped"
"ROYAL CHALLENGERS BENGALURU","15","Swapnil Singh","Indian","3000000","5000000","Uncapped"
"ROYAL CHALLENGERS BENGALURU","16","Mohit Rathee","Indian","3000000","3000000","Uncapped"
"ROYAL CHALLENGERS BENGALURU","17","Abhinandan Singh","Indian","3000000","3000000","Uncapped"
"ROYAL CHALLENGERS BENGALURU","18","Swastik Chhikara","Indian","3000000","3000000","Uncapped"
"ROYAL CHALLENGERS BENGALURU","19","Manoj Bhandage","Indian","3000000","3000000","Uncapped"
"SUNRISERS HYDERABAD","1","Ishan Kishan","Indian","20000000","112500000","Capped"
"SUNRISERS HYDERABAD","2","Mohammad Shami","Indian","20000000","100000000","Capped"
"SUNRISERS HYDERABAD","3","Harshal Patel","Indian","20000000","80000000","Capped"
"SUNRISERS HYDERABAD","4","Abhinav Manohar","Indian","3000000","32000000","Uncapped"
"SUNRISERS HYDERABAD","5","Rahul Chahar","Indian","10000000","32000000","Capped"
"SUNRISERS HYDERABAD","6","Adam Zampa","Overseas","20000000","24000000","Capped"
"SUNRISERS HYDERABAD","7","Simarjeet Singh","Indian","3000000","15000000","Uncapped"
"SUNRISERS HYDERABAD","8","Eshan Malinga","Overseas","3000000","12000000","Uncapped"
"SUNRISERS HYDERABAD","9","Brydon Carse","Overseas","10000000","10000000","Capped"
"SUNRISERS HYDERABAD","10","Jaydev Unadkat","Indian","10000000","10000000","Capped"
"SUNRISERS HYDERABAD","11","Kamindu Mendis","Overseas","7500000","7500000","Capped"
"SUNRISERS HYDERABAD","12","Zeeshan Ansari","Indian","3000000","4000000","Uncapped"
"SUNRISERS HYDERABAD","13","Sachin Baby","Indian","3000000","3000000","Uncapped"
"SUNRISERS HYDERABAD","14","Aniket Verma","Indian","3000000","3000000","Uncapped"
"SUNRISERS HYDERABAD","15","Atharva Taide","Indian","3000000","3000000","Uncapped"
