Team,Sr_No,Player,Nationality,Base_Price_INR,Winning_Bid_INR,Capped_Status
"CHENNAI SUPER KINGS","1","Daryl Mitchell","Indian","Overseas","All-Rounder","₹14,00,00,000"
"CHENNAI SUPER KINGS","2","Sameer Rizvi","Indian","Indian","Batter","₹8,40,00,000"
"CHENNAI SUPER KINGS","3","Shardul Thakur","Indian","Indian","All-Rounder","₹4,00,00,000"
"CHENNAI SUPER KINGS","4","Mustafizur Rahman","Indian","Overseas","Bowler","₹2,00,00,000"
"CHENNAI SUPER KINGS","5","Rachin Ravindra","Indian","Overseas","All-Rounder","₹1,80,00,000"
"CHENNAI SUPER KINGS","6","Avanish Rao Aravelly","Indian","Indian","Wicket-Keeper","₹20,00,000"
"DELHI CAPITALS","1","Kumar Kushagra","Indian","Indian","Wicket-Keeper","₹7,20,00,000"
"DELHI CAPITALS","2","Jhye Richardson","Indian","Overseas","Bowler","₹5,00,00,000"
"DELHI CAPITALS","3","Harry Brook","Indian","Overseas","Batter","₹4,00,00,000"
"DELHI CAPITALS","4","Sumit Kumar","Indian","Indian","All-Rounder","₹1,00,00,000"
"DELHI CAPITALS","5","Shai Hope","Indian","Overseas","Wicket-Keeper","₹75,00,000"
"DELHI CAPITALS","6","Tristan Stubbs","Indian","Overseas","Wicket-Keeper","₹50,00,000"
"DELHI CAPITALS","7","Ricky Bhui","Indian","Indian","Wicket-Keeper","₹20,00,000"
"DELHI CAPITALS","8","Swastik Chhikara","Indian","Indian","Batter","₹20,00,000"
"DELHI CAPITALS","9","Rasikh Dar","Indian","Indian","Bowler","₹20,00,000"
"GUJARAT TITANS","1","Spencer Johnson","Indian","Overseas","Bowler","₹10,00,00,000"
"GUJARAT TITANS","2","Shahrukh Khan","Indian","Indian","All-Rounder","₹7,40,00,000"
"GUJARAT TITANS","3","Umesh Yadav","Indian","Indian","Bowler","₹5,80,00,000"
"GUJARAT TITANS","4","Robin Minz","Indian","Indian","Wicket-Keeper","₹3,60,00,000"
"GUJARAT TITANS","5","Sushant Mishra","Indian","Indian","Bowler","₹2,20,00,000"
"GUJARAT TITANS","6","Kartik Tyagi","Indian","Indian","Bowler","₹60,00,000"
"GUJARAT TITANS","7","Azmatullah Omarzai","Indian","Overseas","All-Rounder","₹50,00,000"
"GUJARAT TITANS","8","Manav Suthar","Indian","Indian","Bowler","₹20,00,000"
"KOLKATA KNIGHT RIDERS","1","Mitchell  Starc","Indian","Overseas","Bowler","₹24,75,00,000"
"KOLKATA KNIGHT RIDERS","2","Mujeeb Rahman","Indian","Overseas","Bowler","₹2,00,00,000"
"KOLKATA KNIGHT RIDERS","3","Sherfane Rutherford","Indian","Overseas","Batter","₹1,50,00,000"
"KOLKATA KNIGHT RIDERS","4","Gus Atkinson","Indian","Overseas","Bowler","₹1,00,00,000"
"KOLKATA KNIGHT RIDERS","5","Manish Pandey","Indian","Indian","Batter","₹50,00,000"
"KOLKATA KNIGHT RIDERS","6","K.S. Bharat","Indian","Indian","Wicket-Keeper","₹50,00,000"
"KOLKATA KNIGHT RIDERS","7","Chetan Sakariya","Indian","Indian","Bowler","₹50,00,000"
"KOLKATA KNIGHT RIDERS","8","Angkrish Raghuvanshi","Indian","Indian","Batter","₹20,00,000"
"KOLKATA KNIGHT RIDERS","9","Ramandeep  Singh","Indian","Indian","All-Rounder","₹20,00,000"
"KOLKATA KNIGHT RIDERS","10","Sakib Hussain","Indian","Indian","Bowler","₹20,00,000"
"LUCKNOW SUPER GIANTS","1","Shivam  Mavi","Indian","Indian","Bowler","₹6,40,00,000"
"LUCKNOW SUPER GIANTS","2","M. Siddharth","Indian","Indian","Bowler","₹2,40,00,000"
"LUCKNOW SUPER GIANTS","3","David Willey","Indian","Overseas","All-Rounder","₹2,00,00,000"
"LUCKNOW SUPER GIANTS","4","Ashton Turner","Indian","Overseas","Batter","₹1,00,00,000"
"LUCKNOW SUPER GIANTS","5","Arshin Kulkarni","Indian","Indian","All-Rounder","₹20,00,000"
"LUCKNOW SUPER GIANTS","6","Mohd. Arshad Khan","Indian","Indian","All-Rounder","₹20,00,000"
