Team,Sr_No,Player,Nationality,Base_Price_INR,Winning_Bid_INR,Capped_Status
"MUMBAI INDIANS","1","Gerald Coetzee","Indian","Overseas","All-Rounder","₹5,00,00,000"
"MUMBAI INDIANS","2","Nuwan Thushara","Indian","Overseas","Bowler","₹4,80,00,000"
"MUMBAI INDIANS","3","Dilshan Madushanka","Indian","Overseas","Bowler","₹4,60,00,000"
"MUMBAI INDIANS","4","Mohammad Nabi","Indian","Overseas","All-Rounder","₹1,50,00,000"
"MUMBAI INDIANS","5","Shreyas Gopal","Indian","Indian","Bowler","₹20,00,000"
"MUMBAI INDIANS","6","Shivalik Sharma","Indian","Indian","All-Rounder","₹20,00,000"
"MUMBAI INDIANS","7","Anshul Kamboj","Indian","Indian","All-Rounder","₹20,00,000"
"MUMBAI INDIANS","8","Naman Dhir","Indian","Indian","All-Rounder","₹20,00,000"
"PUNJAB KINGS","1","Harshal Patel","Indian","Indian","All-Rounder","₹11,75,00,000"
"PUNJAB KINGS","2","Rilee Rossouw","Indian","Overseas","Batter","₹8,00,00,000"
"PUNJAB KINGS","3","Chris Woakes","Indian","Overseas","All-Rounder","₹4,20,00,000"
"PUNJAB KINGS","4","Tanay Thyagarajann","Indian","Indian","All-Rounder","₹20,00,000"
"PUNJAB KINGS","5","Vishwanath Pratap Singh","Indian","Indian","All-Rounder","₹20,00,000"
"PUNJAB KINGS","6","Ashutosh Sharma","Indian","Indian","All-Rounder","₹20,00,000"
"PUNJAB KINGS","7","Shashank  Singh","Indian","Indian","Batter","₹20,00,000"
"PUNJAB KINGS","8","Prince Choudhary","Indian","Indian","Bowler","₹20,00,000"
"RAJASTHAN ROYALS","1","Rovman Powell","Indian","Overseas","Batter","₹7,40,00,000"
"RAJASTHAN ROYALS","2","Shubham Dubey","Indian","Indian","Batter","₹5,80,00,000"
"RAJASTHAN ROYALS","3","Nandre Burger","Indian","Overseas","Bowler","₹50,00,000"
"RAJASTHAN ROYALS","4","Tom Kohler-Cadmore","Indian","Overseas","Wicket-Keeper","₹40,00,000"
"RAJASTHAN ROYALS","5","Abid Mushtaq","Indian","Indian","All-Rounder","₹20,00,000"
"ROYAL CHALLENGERS BENGALURU","1","Alzarri Joseph","Indian","Overseas","Bowler","₹11,50,00,000"
"ROYAL CHALLENGERS BENGALURU","2","Yash  Dayal","Indian","Indian","Bowler","₹5,00,00,000"
"ROYAL CHALLENGERS BENGALURU","3","Lockie Ferguson","Indian","Overseas","Bowler","₹2,00,00,000"
"ROYAL CHALLENGERS BENGALURU","4","Tom Curran","Indian","Overseas","All-Rounder","₹1,50,00,000"
"ROYAL CHALLENGERS BENGALURU","5","Saurav Chuahan","Indian","Indian","Batter","₹20,00,000"
"ROYAL CHALLENGERS BENGALURU","6","Swapnil Singh","Indian","Indian","All-Rounder","₹20,00,000"
"SUNRISERS HYDERABAD","1","Pat Cummins","Indian","Overseas","All-Rounder","₹20,50,00,000"
"SUNRISERS HYDERABAD","2","Travis Head","Indian","Overseas","Batter","₹6,80,00,000"
"SUNRISERS HYDERABAD","3","Jaydev Unadkat","Indian","Indian","Bowler","₹1,60,00,000"
"SUNRISERS HYDERABAD","4","Wanindu Hasaranga","Indian","Overseas","All-Rounder","₹1,50,00,000"
"SUNRISERS HYDERABAD","5","Jhathavedh Subramanyan","Indian","Indian","Bowler","₹20,00,000"
"SUNRISERS HYDERABAD","6","Akash Singh","Indian","Indian","Bowler","₹20,00,000"
