player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"J Anderson","MIZO","2025-2025","6","6","1","175","82*","35.00","106","165.09","0","1","1","23","4"
"Mohit Ahlawat","SVCS","2025-2025","7","7","1","174","46*","29.00","104","167.30","0","0","0","18","10"
"MD Choudhary","RAJ","2025-2025","5","5","2","173","62*","57.66","87","198.85","0","2","0","10","13"
"RK Singh","UP","2025-2025","7","7","0","172","65","24.57","127","135.43","0","1","0","14","8"
"Pukhraj Mann","HP","2025-2025","7","7","0","170","79","24.28","108","157.40","0","1","1","11","12"
"SS Garhwal","RAJ","2025-2025","8","8","0","168","51","21.00","109","154.12","0","1","1","18","10"
"R Rajkumar","TN","2025-2025","7","7","2","167","93*","33.40","104","160.57","0","1","0","12","12"
"SD Chauhan","GUJ","2025-2025","7","6","2","167","81*","41.75","134","124.62","0","1","0","16","3"
"R Minz","JHK","2025-2025","11","7","1","166","58","27.66","102","162.74","0","1","0","11","9"
"SA Yadav","MUM","2025-2025","5","5","1","165","47","41.25","118","139.83","0","0","0","16","6"
"R Ahir","SAU","2025-2025","7","7","3","163","39*","40.75","102","159.80","0","0","0","8","11"
"RA Tripathi","MAHA","2025-2025","5","5","2","163","83*","54.33","115","141.73","0","1","0","14","6"
"SP Khajuria","J + K","2025-2025","6","5","0","163","45","32.60","125","130.40","0","0","0","16","5"
"Nakul Sharma","SVCS","2025-2025","7","6","0","162","57","27.00","125","129.60","0","1","0","8","8"
"SG Rawat","BRODA","2025-2025","7","7","2","160","47*","32.00","123","130.08","0","0","0","20","3"
"AD Suryavanshi","UKHND","2025-2025","5","5","1","158","73*","39.50","110","143.63","0","2","0","13","7"
"V Dhankhar","SVCS","2025-2025","7","7","1","157","36","26.16","110","142.72","0","0","0","10","10"
"Yawer Hassan","J + K","2025-2025","5","5","0","157","57","31.40","113","138.93","0","1","0","16","6"
"PS Vats","HRYNA","2025-2025","11","8","1","155","45","22.14","121","128.09","0","0","0","12","7"
"Amit Rajera","SIKM","2025-2025","6","6","1","154","42*","30.80","110","140.00","0","0","0","18","5"
"I Mahajan","HP","2025-2025","7","7","0","154","50","22.00","123","125.20","0","1","0","19","5"
"SDNV Prasad","AP","2025-2025","8","6","3","152","53*","50.66","111","136.93","0","1","0","9","9"
"Tushar Raheja","TN","2025-2025","7","7","0","151","72","21.57","92","164.13","0","1","1","17","6"
"GH Vihari","TPURA","2025-2025","7","7","0","151","36","21.57","122","123.77","0","0","0","22","1"
"T Thyagarajan","HYD","2025-2025","10","7","1","150","50","25.00","114","131.57","0","1","0","14","5"
"ST Paul","TPURA","2025-2025","7","7","0","149","43","21.28","90","165.55","0","0","1","15","9"
"BK Saurabh","BIHAR","2025-2025","7","7","2","149","36","29.80","99","150.50","0","0","0","17","5"
"JB Ozukum","NAGA","2025-2025","5","5","0","148","74","29.60","91","162.63","0","1","0","18","6"
"VP Solanki","BRODA","2025-2025","7","7","0","147","43","21.00","81","181.48","0","0","1","20","6"
"YBK Jaiswal","MUM","2025-2025","3","3","0","145","101","48.33","86","168.60","1","0","0","25","1"
"S Ghadigaonkar","ASSAM","2025-2025","7","7","0","144","79","20.57","107","134.57","0","1","1","12","5"
"Arjun Azad","CHD","2025-2025","7","7","0","142","63","20.28","111","127.92","0","1","1","17","4"
"KS Rathore","RAJ","2025-2025","9","9","3","141","33*","23.50","109","129.35","0","0","0","14","4"
