player,team,span,matches,innings,balls,overs,maidens,runs,wickets,bbi,average,economy,strike_rate,four_wickets,five_wickets
"Jagjit Singh","CHD","2024-2024","7","7","162","27.0","1","229","18","5/38","12.72","8.48","9.00","1","1"
"K Kartikeya","MP","2024-2024","10","10","228","38.0","0","290","17","3/25","17.05","7.63","13.41","0","0"
"Mukesh Choudhary","MAHA","2024-2024","6","6","132","22.0","1","194","15","4/33","12.93","8.81","8.80","1","0"
"SN Thakur","MUM","2024-2024","9","9","210","35.0","0","368","15","4/25","24.53","10.51","14.00","1","0"
"S Gopal","KNTKA","2024-2024","7","7","162","27.0","0","166","14","5/13","11.85","6.14","11.57","1","1"
"KV Sasikanth","AP","2024-2024","7","7","162","27.0","0","261","14","3/22","18.64","9.66","11.57","0","0"
"AA Sheth","BRODA","2024-2024","9","9","177","29.3","0","308","14","3/41","22.00","10.44","12.64","0","0"
"SS Ghosh","BENG","2024-2024","7","7","162","27.0","0","183","13","4/30","14.07","6.77","12.46","1","0"
"CV Stephen","AP","2024-2024","7","7","144","24.0","2","176","13","4/45","13.53","7.33","11.07","1","0"
"T Ravi Teja","HYD","2024-2024","7","7","153","25.3","0","209","13","4/26","16.07","8.19","11.76","1","0"
"BS Konthoujam","MNPR","2024-2024","7","7","134","22.2","1","193","13","4/18","14.84","8.64","10.30","1","0"
"AR Nagwaswalla","GUJ","2024-2024","6","6","137","22.5","1","212","13","4/21","16.30","9.28","10.53","1","0"
"MA Avasthi","MUM","2024-2024","8","8","183","30.3","0","303","13","4/44","23.30","9.93","14.07","1","0"
"DA Jadeja","SAU","2024-2024","8","8","168","28.0","0","188","12","3/19","15.66","6.71","14.00","0","0"
"Bal Krishna","JHK","2024-2024","7","7","144","24.0","0","177","12","3/27","14.75","7.37","12.00","0","0"
"Abid Mushtaq","J + K","2024-2024","7","7","127","21.1","0","166","12","4/2","13.83","7.84","10.58","2","0"
"V Panwar","UP","2024-2024","9","9","216","36.0","0","284","12","3/17","23.66","7.88","18.00","0","0"
"Parvez Sultan","TPURA","2024-2024","7","7","152","25.2","1","206","12","4/13","17.16","8.13","12.66","2","0"
"RA Bawa","CHD","2024-2024","7","7","151","25.1","0","232","12","3/28","19.33","9.21","12.58","0","0"
"DG Nalkande","VIDAR","2024-2024","6","6","131","21.5","1","209","12","3/28","17.41","9.57","10.91","0","0"
"LI Meriwala","BRODA","2024-2024","8","8","174","29.0","0","278","12","3/17","23.16","9.58","14.50","0","0"
"B Kumar","UP","2024-2024","9","9","175","29.1","2","176","11","3/6","16.00","6.03","15.90","0","0"
"Rasikh Salam","J + K","2024-2024","7","7","156","26.0","0","194","11","3/30","17.63","7.46","14.18","0","0"
"Prince Yadav","DELHI","2024-2024","8","8","163","27.1","0","205","11","3/36","18.63","7.54","14.81","0","0"
"HV Patel","HRYNA","2024-2024","7","7","137","22.5","1","179","11","5/12","16.27","7.83","12.45","0","1"
"Mohammed Shami","BENG","2024-2024","9","9","213","35.3","0","279","11","3/21","25.36","7.85","19.36","0","0"
"Tripuresh Singh","MP","2024-2024","8","8","149","24.5","1","198","11","3/19","18.00","7.97","13.54","0","0"
"CS Jani","SAU","2024-2024","8","8","179","29.5","0","238","11","3/24","21.63","7.97","16.27","0","0"
"DM Parwani","VIDAR","2024-2024","5","5","104","17.2","0","178","11","4/56","16.18","10.26","9.45","1","0"
"YS Chahal","HRYNA","2024-2024","7","7","150","25.0","0","119","10","4/9","11.90","4.76","15.00","1","0"
"KL Nagarkoti","RAJ","2024-2024","7","7","162","27.0","1","181","10","3/14","18.10","6.70","16.20","0","0"
"Harsh Tyagi","DELHI","2024-2024","7","7","114","19.0","0","131","10","3/34","13.10","6.89","11.40","0","0"
"I Sharma","DELHI","2024-2024","7","7","129","21.3","1","154","10","2/12","15.40","7.16","12.90","0","0"
"MD Nidheesh","KER","2024-2024","6","6","120","20.0","0","155","10","4/30","15.50","7.75","12.00","1","0"
"Vikash Singh","JHK","2024-2024","7","7","150","25.0","0","207","10","4/30","20.70","8.28","15.00","1","0"
"Avesh Khan","MP","2024-2024","9","9","198","33.0","0","274","10","2/17","27.40","8.30","19.80","0","0"
"V Patil","KNTKA","2024-2024","6","6","138","23.0","0","194","10","3/10","19.40","8.43","13.80","0","0"
"V Tiwari","JHK","2024-2024","7","7","132","22.0","0","233","10","3/23","23.30","10.59","13.20","0","0"
"A Kamboj","HRYNA","2024-2024","7","7","131","21.5","2","147","9","3/26","16.33","6.73","14.55","0","0"
"MJ Dagar","HP","2024-2024","7","7","156","26.0","1","180","9","3/11","20.00","6.92","17.33","0","0"
"Mukhtar Hussain","ASSAM","2024-2024","6","6","126","21.0","1","149","9","4/18","16.55","7.09","14.00","1","0"
"AA Choudhury","ASSAM","2024-2024","6","6","102","17.0","0","126","9","2/12","14.00","7.41","11.33","0","0"
"TK Kotian","MUM","2024-2024","9","9","145","24.1","0","180","9","3/21","20.00","7.44","16.11","0","0"
"Sandeep Sharma","CHD","2024-2024","7","7","166","27.4","1","207","9","4/22","23.00","7.48","18.44","1","0"
"R Sai Kishore","TN","2024-2024","7","7","150","25.0","0","188","9","2/2","20.88","7.52","16.66","0","0"
"Simarjeet Singh","DELHI","2024-2024","5","5","106","17.4","0","134","9","3/16","14.88","7.58","11.77","0","0"
"S Sandeep Warrier","TN","2024-2024","7","7","141","23.3","1","179","9","4/21","19.88","7.61","15.66","1","0"
"CV Varun","TN","2024-2024","7","7","150","25.0","0","194","9","3/43","21.55","7.76","16.66","0","0"
"Mohsin Khan","UP","2024-2024","7","7","145","24.1","0","190","9","2/16","21.11","7.86","16.11","0","0"
"FB Alemao","GOA","2024-2024","3","3","66","11.0","0","93","9","5/24","10.33","8.45","7.33","0","1"
"A Choudhary","RAJ","2024-2024","6","6","123","20.3","0","174","9","3/18","19.33","8.48","13.66","0","0"
"KK Seth","BENG","2024-2024","8","8","160","26.4","0","233","9","2/35","25.88","8.73","17.77","0","0"
"Baltej Singh","PNJB","2024-2024","5","5","108","18.0","0","163","9","3/32","18.11","9.05","12.00","0","0"
"A Panwar","SAU","2024-2024","6","6","126","21.0","0","201","9","3/35","22.33","9.57","14.00","0","0"
"Gurjapneet Singh","TN","2024-2024","5","5","102","17.0","0","167","9","3/53","18.55","9.82","11.33","0","0"
"Shivam Shukla","MP","2024-2024","8","8","180","30.0","0","189","8","4/29","23.62","6.30","22.50","1","0"
"CV Milind","HYD","2024-2024","7","7","144","24.0","0","152","8","3/33","19.00","6.33","18.00","0","0"
