player,team,span,matches,innings,balls,overs,maidens,runs,wickets,bbi,average,economy,strike_rate,four_wickets,five_wickets
"PR Rekhade","VIDAR","2024-2024","6","6","132","22.0","0","144","8","3/23","18.00","6.54","16.50","0","0"
"A Dev Goud","HYD","2024-2024","4","4","84","14.0","0","93","8","3/20","11.62","6.64","10.50","0","0"
"Auqib Nabi","J + K","2024-2024","7","7","162","27.0","0","182","8","3/9","22.75","6.74","20.25","0","0"
"KH Pandya","BRODA","2024-2024","9","9","186","31.0","2","210","8","2/19","26.25","6.77","23.25","0","0"
"AS Roy","JHK","2024-2024","7","7","132","22.0","2","152","8","4/17","19.00","6.90","16.50","1","0"
"AN Guleria","HP","2024-2024","5","5","102","17.0","0","120","8","5/19","15.00","7.05","12.75","0","1"
"V Nigam","UP","2024-2024","7","7","144","24.0","0","171","8","2/20","21.37","7.12","18.00","0","0"
"JD Unadkat","SAU","2024-2024","8","8","180","30.0","0","214","8","2/17","26.75","7.13","22.50","0","0"
"Abhishek Sharma","PNJB","2024-2024","7","7","126","21.0","1","152","8","3/37","19.00","7.23","15.75","0","0"
"P Narang","SVCS","2024-2024","4","4","77","12.5","0","97","8","4/7","12.12","7.55","9.62","1","0"
"V Koushik","KNTKA","2024-2024","5","5","114","19.0","1","159","8","3/10","19.87","8.36","14.25","0","0"
"PN Mankad","SAU","2024-2024","8","8","129","21.3","0","181","8","2/10","22.62","8.41","16.12","0","0"
"MB Murasingh","TPURA","2024-2024","7","7","149","24.5","0","213","8","2/20","26.62","8.57","18.62","0","0"
"L Kishan Singha","MNPR","2024-2024","7","7","117","19.3","0","168","8","3/10","21.00","8.61","14.62","0","0"
"A Madhwal","UKHND","2024-2024","5","5","101","16.5","0","147","8","3/32","18.37","8.73","12.62","0","0"
"Vishal Gaur","SVCS","2024-2024","6","6","132","22.0","0","196","8","2/26","24.50","8.90","16.50","0","0"
"Yash Thakur","VIDAR","2024-2024","6","6","138","23.0","0","211","8","2/29","26.37","9.17","17.25","0","0"
"Suryansh Shedge","MUM","2024-2024","9","9","119","19.5","0","184","8","2/11","23.00","9.27","14.87","0","0"
"M Jangra","MIZO","2024-2024","7","7","153","25.3","0","248","8","2/18","31.00","9.72","19.12","0","0"
"KL Vanrotlinga","MIZO","2024-2024","7","7","162","27.0","0","270","8","3/52","33.75","10.00","20.25","0","0"
"Arshad Khan","MP","2024-2024","3","3","46","7.4","0","33","7","3/5","4.71","4.30","6.57","0","0"
"Ravi Bishnoi","GUJ","2024-2024","7","7","168","28.0","1","183","7","3/28","26.14","6.53","24.00","0","0"
"Vishal Jayswal","GUJ","2024-2024","5","5","120","20.0","0","134","7","4/27","19.14","6.70","17.14","1","0"
"N Nitin Sai Yadav","HYD","2024-2024","4","4","90","15.0","0","104","7","3/21","14.85","6.93","12.85","0","0"
"Yudhvir Singh","J + K","2024-2024","7","7","147","24.3","0","177","7","2/14","25.28","7.22","21.00","0","0"
"Sumit Kumar","HRYNA","2024-2024","7","7","115","19.1","0","139","7","3/25","19.85","7.25","16.42","0","0"
"AJ Mandal","CGR","2024-2024","5","5","108","18.0","0","134","7","5/10","19.14","7.44","15.42","0","1"
"G Anikethreddy","HYD","2024-2024","3","3","60","10.0","0","75","7","4/11","10.71","7.50","8.57","1","0"
"MS Bhandage","KNTKA","2024-2024","7","7","120","20.0","0","151","7","3/19","21.57","7.55","17.14","0","0"
"Shahbaz Ahmed","BENG","2024-2024","9","9","168","28.0","0","213","7","2/14","30.42","7.60","24.00","0","0"
"PJ Singh","MNPR","2024-2024","6","6","119","19.5","1","152","7","3/11","21.71","7.66","17.00","0","0"
"M Ashwin","J + K","2024-2024","5","5","102","17.0","0","134","7","3/24","19.14","7.88","14.57","0","0"
"MK Dutta","ASSAM","2024-2024","6","6","108","18.0","1","145","7","2/12","20.71","8.05","15.42","0","0"
"PVSN Raju","AP","2024-2024","7","7","137","22.5","0","188","7","2/19","26.85","8.23","19.57","0","0"
"SP Tari","GOA","2024-2024","6","6","132","22.0","0","193","7","2/28","27.57","8.77","18.85","0","0"
"VR Iyer","MP","2024-2024","10","9","114","19.0","0","168","7","2/12","24.00","8.84","16.28","0","0"
"AS Sarkar","TPURA","2024-2024","6","6","111","18.3","0","183","7","2/14","26.14","9.89","15.85","0","0"
"CT Gaja","GUJ","2024-2024","6","6","106","17.4","0","177","7","3/31","25.28","10.01","15.14","0","0"
"T Vijay","AP","2024-2024","3","3","72","12.0","2","46","6","4/8","7.66","3.83","12.00","1","0"
"MJ Suthar","RAJ","2024-2024","7","7","118","19.4","1","124","6","2/10","20.66","6.30","19.66","0","0"
"RD Chahar","RAJ","2024-2024","7","7","156","26.0","0","169","6","2/12","28.16","6.50","26.00","0","0"
"AR Patel","GUJ","2024-2024","7","7","162","27.0","0","177","6","2/19","29.50","6.55","27.00","0","0"
"Karan Lal","BENG","2024-2024","9","4","70","11.4","0","81","6","3/23","13.50","6.94","11.66","0","0"
