player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"MA Agarwal","KNTKA","2024-2024","7","7","0","179","51","25.57","117","152.99","0","1","1","16","10"
"AA Kargave","PONDI","2024-2024","6","6","1","179","58","35.80","120","149.16","0","2","0","15","10"
"SK Gharami","BENG","2024-2024","9","8","3","179","50*","35.80","151","118.54","0","1","2","12","5"
"Anmolpreet Singh","PNJB","2024-2024","6","6","1","178","60","35.60","109","163.30","0","1","0","22","3"
"DJ Hooda","RAJ","2024-2024","7","6","0","178","65","29.66","124","143.54","0","1","0","11","12"
"K Rohit Rayudu","HYD","2024-2024","4","4","2","173","56*","86.50","102","169.60","0","3","0","15","8"
"UD Yadav","RLYS","2024-2024","5","5","3","172","68*","86.00","115","149.56","0","2","1","11","10"
"AS Bhatewara","MEGHA","2024-2024","7","7","0","172","65","24.57","164","104.87","0","1","0","15","4"
"RA Bawa","CHD","2024-2024","7","6","0","171","61","28.50","125","136.80","0","1","1","10","11"
"R Ahir","SAU","2024-2024","5","5","1","170","57","42.50","95","178.94","0","2","0","7","14"
"R Smaran","KNTKA","2024-2024","6","6","1","170","57","34.00","100","170.00","0","1","0","13","12"
"Salman Nizar","KER","2024-2024","6","6","3","169","99*","56.33","103","164.07","0","1","0","11","10"
"Qamran Iqbal","J + K","2024-2024","7","7","1","168","61","28.00","113","148.67","0","1","1","14","11"
"K Ashwin Hebbar","AP","2024-2024","7","7","0","168","52","24.00","117","143.58","0","1","0","19","10"
"AR Sharma","RLYS","2024-2024","5","5","3","164","59*","82.00","98","167.34","0","2","0","11","11"
"Ankit Kumar","HRYNA","2024-2024","7","7","0","164","59","23.42","131","125.19","0","1","0","23","1"
"HM Patel","GUJ","2024-2024","7","4","2","163","57*","81.50","92","177.17","0","2","0","14","10"
"Ishan Kishan","JHK","2024-2024","6","6","1","161","77*","32.20","96","167.70","0","1","0","18","12"
"Arslan Khan","CHD","2024-2024","4","4","1","159","107*","53.00","85","187.05","1","1","1","16","11"
"TD Agarwal","HYD","2024-2024","6","6","0","158","55","26.33","107","147.66","0","1","0","14","9"
