POS,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
"141","Arshdeep Singh","PBKS","4","14","1","0","4","4.00","3","133.33","0","0","1","0"
"142","Akash Madhwal","MI","4","5","1","1","4*","-","5","80.00","0","0","0","0"
"143","Matthew Wade","GT","4","2","1","0","4","4.00","6","66.66","0","0","0","0"
"144","Ravi Bishnoi","LSG","4","14","3","0","2","1.33","6","66.66","0","0","0","0"
"145","Anrich Nortje","DC","4","6","2","0","4","2.00","8","50.00","0","0","0","0"
"146","Mohit Sharma","GT","4","12","3","1","4","2.00","15","26.66","0","0","0","0"
"147","Anukul Roy","KKR","3","4","1","1","3*","-","3","100.00","0","0","0","0"
"148","Reece Topley","RCB","3","4","1","1","3*","-","6","50.00","0","0","0","0"
"149","Kumar Kushagra","DC","3","4","3","0","2","1.00","7","42.85","0","0","0","0"
"150","Mukesh Kumar","DC","3","10","2","1","3","3.00","9","33.33","0","0","0","0"
"151","Ricky Bhui","DC","3","2","2","0","3","1.50","9","33.33","0","0","0","0"
"152","Mohsin Khan","LSG","2","9","1","0","2","2.00","1","200.00","0","0","0","0"
"153","Richard Gleeson","CSK","2","2","1","1","2*","-","2","100.00","0","0","0","0"
"154","Jhye Richardson","DC","2","1","1","0","2","2.00","2","100.00","0","0","0","0"
"155","Anshul Kamboj","MI","2","3","1","1","2*","-","2","100.00","0","0","0","0"
"156","Akash Deep","RCB","2","1","1","1","2*","-","2","100.00","0","0","0","0"
"157","Shivam Singh","PBKS","2","1","1","1","2*","-","3","66.66","0","0","0","0"
"158","Naveen-Ul-Haq","LSG","2","10","3","3","2*","-","4","50.00","0","0","0","0"
"159","B R Sharath","GT","2","1","1","0","2","2.00","5","40.00","0","0","0","0"
"160","Vaibhav Arora","KKR","1","10","2","2","1*","-","1","100.00","0","0","0","0"
"161","Shams Mulani","MI","1","2","1","1","1*","-","1","100.00","0","0","0","0"
"162","Lockie Ferguson","RCB","1","7","1","0","1","1.00","1","100.00","0","0","0","0"
"163","Lizaad Williams","DC","1","2","1","1","1*","-","2","50.00","0","0","0","0"
"164","Keshav Maharaj","RR","1","2","1","0","1","1.00","2","50.00","0","0","0","0"
"165","Manav Suthar","GT","1","1","1","0","1","1.00","2","50.00","0","0","0","0"
"166","Vyshak Vijaykumar","RCB","1","4","2","1","1*","1.00","3","33.33","0","0","0","0"
"167","Ishant Sharma","DC","1","9","2","2","1*","-","7","14.28","0","0","0","0"
