Player_Name,Team_x,Type,Base,Final_Price
tushar deshpande,RR,BOWL,1,6.5
lockie ferguson,PBKS,BOWL,2,2
bhuvneshwar kumar,RCB,BOWL,2,10.75
mukesh kumar,DC,BOWL,2,8
am ghazanfar,MI,BOWL,0.75,4.8
akeal hosein,-,BOWL,1.5,Unsold
keshav maharaj,-,BOWL,0.75,Unsold
mujeeb ur rahman,-,BOWL,2,Unsold
adil rashid,-,BOWL,2,Unsold
vijayakanth viyaskanth,-,BOWL,0.75,Unsold
ricky bhui,-,BAT,0.3,TBA
swastik chikara,RCB,BAT,0.3,0.3
aarya desai,-,BAT,0.3,TBA
shubham dubey,RR,BAT,0.3,0.8
madhav kaushik,-,BAT,0.3,Unsold
pukhraj mann,-,BAT,0.3,Unsold
shaik rasheed,CSK,BAT,0.3,0.3
himmat singh,LSG,BAT,0.3,0.3
mayank dagar,-,AR,0.3,Unsold
anshul kamboj,CSK,AR,0.3,3.4
arshad khan,GT,AR,0.3,1.3
darshan nalkande,DC,AR,0.3,0.3
suyash prabhudessai,-,AR,0.3,TBA
anukul roy,KKR,AR,0.3,0.4
swapnil singh,RCB,AR,0.3,0.5
sanvir singh,-,AR,0.3,TBA
aravelly avanish,-,BAT,0.3,Unsold
vansh bedi,CSK,BAT,0.3,0.55
saurav chauhan,-,BAT,0.3,TBA
harvik desai,-,BAT,0.3,Unsold
tom kohler-cadmore,-,BAT,0.5,TBA
kunal singh rathore,RR,BAT,0.3,0.3
br sharath,-,BAT,0.3,TBA
gurnoor brar,GT,BOWL,0.3,1.3
mukesh choudhary,CSK,BOWL,0.3,0.3
sakib hussain,-,BOWL,0.3,Unsold
vidwath kaverappa,-,BOWL,0.3,Unsold
rajan kumar,-,BOWL,0.3,Unsold
sushant mishra,-,BOWL,0.3,TBA
arjun tendulkar,MI,BOWL,0.3,0.3
zeeshan ansari,SRH,BOWL,0.3,0.4
prince choudhary,-,BOWL,0.3,Unsold
himanshu sharma,-,BOWL,0.3,TBA
manimaran siddharth,LSG,BOWL,0.3,0.75
digvesh singh,LSG,BOWL,0.3,0.3
prashant solanki,-,BOWL,0.3,Unsold
jhathavedh subramanyan,-,BOWL,0.3,Unsold
